"","Hour","Temp","Date","month","day","year","Day of Week","Weekday","Peakhour"
"1",15,71,2016-05-25,5,25,2016,"3","1",1
"2",16,73,2016-05-25,5,25,2016,"3","1",1
"3",17,77,2016-05-25,5,25,2016,"3","1",1
"4",18,83,2016-05-25,5,25,2016,"3","1",1
"5",19,81,2016-05-25,5,25,2016,"3","1",1
"6",20,79,2016-05-25,5,25,2016,"3","1",1
"7",21,77,2016-05-25,5,25,2016,"3","1",1
"8",22,74,2016-05-25,5,25,2016,"3","1",1
"9",23,73,2016-05-25,5,25,2016,"3","1",1
"10",0,72,2016-05-26,5,26,2016,"4","1",1
"11",1,71,2016-05-26,5,26,2016,"4","1",1
"12",2,70,2016-05-26,5,26,2016,"4","1",1
"13",3,68,2016-05-26,5,26,2016,"4","1",1
"14",4,67,2016-05-26,5,26,2016,"4","1",1
"15",5,66,2016-05-26,5,26,2016,"4","1",1
"16",6,66,2016-05-26,5,26,2016,"4","1",1
"17",7,68,2016-05-26,5,26,2016,"4","1",1
"18",8,71,2016-05-26,5,26,2016,"4","1",1
"19",9,73,2016-05-26,5,26,2016,"4","1",1
"20",10,73,2016-05-26,5,26,2016,"4","1",1
"21",11,73,2016-05-26,5,26,2016,"4","1",1
"22",12,75,2016-05-26,5,26,2016,"4","1",1
"23",13,75,2016-05-26,5,26,2016,"4","1",1
"24",14,76,2016-05-26,5,26,2016,"4","1",1
"25",15,76,2016-05-26,5,26,2016,"4","1",1
"26",16,75,2016-05-26,5,26,2016,"4","1",1
"27",17,74,2016-05-26,5,26,2016,"4","1",1
"28",18,74,2016-05-26,5,26,2016,"4","1",1
"29",19,72,2016-05-26,5,26,2016,"4","1",1
"30",20,70,2016-05-26,5,26,2016,"4","1",1
"31",21,69,2016-05-26,5,26,2016,"4","1",1
"32",22,67,2016-05-26,5,26,2016,"4","1",1
"33",23,66,2016-05-26,5,26,2016,"4","1",1
"34",0,65,2016-05-27,5,27,2016,"5","1",1
"35",1,64,2016-05-27,5,27,2016,"5","1",1
"36",2,63,2016-05-27,5,27,2016,"5","1",1
"37",3,62,2016-05-27,5,27,2016,"5","1",1
"38",4,62,2016-05-27,5,27,2016,"5","1",1
"39",5,61,2016-05-27,5,27,2016,"5","1",1
"40",6,61,2016-05-27,5,27,2016,"5","1",1
"41",7,64,2016-05-27,5,27,2016,"5","1",1
"42",8,66,2016-05-27,5,27,2016,"5","1",1
"43",9,69,2016-05-27,5,27,2016,"5","1",1
"44",10,71,2016-05-27,5,27,2016,"5","1",1
"45",11,73,2016-05-27,5,27,2016,"5","1",1
"46",12,74,2016-05-27,5,27,2016,"5","1",1
"47",13,76,2016-05-27,5,27,2016,"5","1",1
"48",14,77,2016-05-27,5,27,2016,"5","1",1
"49",15,77,2016-05-27,5,27,2016,"5","1",1
"50",16,77,2016-05-27,5,27,2016,"5","1",1
"51",17,77,2016-05-27,5,27,2016,"5","1",1
"52",18,77,2016-05-27,5,27,2016,"5","1",1
"53",19,75,2016-05-27,5,27,2016,"5","1",1
"54",20,73,2016-05-27,5,27,2016,"5","1",1
"55",21,71,2016-05-27,5,27,2016,"5","1",1
"56",22,69,2016-05-27,5,27,2016,"5","1",1
"57",23,68,2016-05-27,5,27,2016,"5","1",1
"58",0,67,2016-05-28,5,28,2016,"6","0",1
"59",1,67,2016-05-28,5,28,2016,"6","0",1
"60",2,66,2016-05-28,5,28,2016,"6","0",1
"61",3,65,2016-05-28,5,28,2016,"6","0",1
"62",4,63,2016-05-28,5,28,2016,"6","0",1
"63",5,63,2016-05-28,5,28,2016,"6","0",1
