"","Account","Date","Peakhour","Hour","kWh","month","day","year","Day of Week","Weekday"
"1",26435791004,2014-01-01,0,0,81.285,1,1,2014,3,1
"4381",26435791004,2014-01-01,0,1,81.705,1,1,2014,3,1
"8761",26435791004,2014-01-01,0,2,81.51,1,1,2014,3,1
"13141",26435791004,2014-01-01,0,3,83.115,1,1,2014,3,1
"17521",26435791004,2014-01-01,0,4,83.835,1,1,2014,3,1
"21901",26435791004,2014-01-01,0,5,85.53,1,1,2014,3,1
"26281",26435791004,2014-01-01,0,6,151.694997,1,1,2014,3,1
"30661",26435791004,2014-01-01,1,7,153.764997,1,1,2014,3,1
"35041",26435791004,2014-01-01,1,8,151.079997,1,1,2014,3,1
"39421",26435791004,2014-01-01,1,9,151.049998,1,1,2014,3,1
"43801",26435791004,2014-01-01,1,10,151.349996,1,1,2014,3,1
"48181",26435791004,2014-01-01,1,11,151.079998,1,1,2014,3,1
"52561",26435791004,2014-01-01,1,12,152.324995,1,1,2014,3,1
"56941",26435791004,2014-01-01,1,13,151.574998,1,1,2014,3,1
"61321",26435791004,2014-01-01,1,14,131.804994,1,1,2014,3,1
"65701",26435791004,2014-01-01,1,15,149.819996,1,1,2014,3,1
"70081",26435791004,2014-01-01,1,16,160.394997,1,1,2014,3,1
"74461",26435791004,2014-01-01,1,17,160.889997,1,1,2014,3,1
"78841",26435791004,2014-01-01,1,18,159.464997,1,1,2014,3,1
"83221",26435791004,2014-01-01,1,19,153.434997,1,1,2014,3,1
"87601",26435791004,2014-01-01,0,20,122.624997,1,1,2014,3,1
"91981",26435791004,2014-01-01,0,21,115.094995,1,1,2014,3,1
"96361",26435791004,2014-01-01,0,22,111.089998,1,1,2014,3,1
"100741",26435791004,2014-01-01,0,23,88.065,1,1,2014,3,1
"10",26435791004,2014-01-10,0,0,84.78,1,10,2014,5,1
"4390",26435791004,2014-01-10,0,1,83.82,1,10,2014,5,1
"8770",26435791004,2014-01-10,0,2,83.52,1,10,2014,5,1
"13150",26435791004,2014-01-10,0,3,85.08,1,10,2014,5,1
"17530",26435791004,2014-01-10,0,4,85.62,1,10,2014,5,1
"21910",26435791004,2014-01-10,0,5,88.425,1,10,2014,5,1
"26290",26435791004,2014-01-10,0,6,265.964994,1,10,2014,5,1
"30670",26435791004,2014-01-10,1,7,276.014993,1,10,2014,5,1
"35050",26435791004,2014-01-10,1,8,298.799997,1,10,2014,5,1
"39430",26435791004,2014-01-10,1,9,305.774993,1,10,2014,5,1
"43810",26435791004,2014-01-10,1,10,311.89499,1,10,2014,5,1
"48190",26435791004,2014-01-10,1,11,306.929993,1,10,2014,5,1
"52570",26435791004,2014-01-10,1,12,295.949994,1,10,2014,5,1
"56950",26435791004,2014-01-10,1,13,289.199995,1,10,2014,5,1
"61330",26435791004,2014-01-10,1,14,270.644995,1,10,2014,5,1
"65710",26435791004,2014-01-10,1,15,252.62999,1,10,2014,5,1
"70090",26435791004,2014-01-10,1,16,226.064994,1,10,2014,5,1
"74470",26435791004,2014-01-10,1,17,217.019994,1,10,2014,5,1
"78850",26435791004,2014-01-10,1,18,167.069995,1,10,2014,5,1
"83230",26435791004,2014-01-10,1,19,165.524997,1,10,2014,5,1
"87610",26435791004,2014-01-10,0,20,125.864998,1,10,2014,5,1
"91990",26435791004,2014-01-10,0,21,112.604999,1,10,2014,5,1
"96370",26435791004,2014-01-10,0,22,103.484998,1,10,2014,5,1
"100750",26435791004,2014-01-10,0,23,85.74,1,10,2014,5,1
"11",26435791004,2014-01-11,0,0,82.5,1,11,2014,6,0
"4391",26435791004,2014-01-11,0,1,82.275,1,11,2014,6,0
"8771",26435791004,2014-01-11,0,2,81.345,1,11,2014,6,0
"13151",26435791004,2014-01-11,0,3,82.155,1,11,2014,6,0
"17531",26435791004,2014-01-11,0,4,81.615,1,11,2014,6,0
"21911",26435791004,2014-01-11,0,5,81.87,1,11,2014,6,0
"26291",26435791004,2014-01-11,0,6,162.464999,1,11,2014,6,0
"30671",26435791004,2014-01-11,1,7,149.294997,1,11,2014,6,0
"35051",26435791004,2014-01-11,1,8,184.889993,1,11,2014,6,0
"39431",26435791004,2014-01-11,1,9,185.789996,1,11,2014,6,0
"43811",26435791004,2014-01-11,1,10,176.999998,1,11,2014,6,0
"48191",26435791004,2014-01-11,1,11,173.684996,1,11,2014,6,0
"52571",26435791004,2014-01-11,1,12,174.149997,1,11,2014,6,0
"56951",26435791004,2014-01-11,1,13,171.614995,1,11,2014,6,0
"61331",26435791004,2014-01-11,1,14,155.849997,1,11,2014,6,0
"65711",26435791004,2014-01-11,1,15,108.479999,1,11,2014,6,0
"70091",26435791004,2014-01-11,1,16,103.739999,1,11,2014,6,0
"74471",26435791004,2014-01-11,1,17,93.15,1,11,2014,6,0
"78851",26435791004,2014-01-11,1,18,94.335,1,11,2014,6,0
"83231",26435791004,2014-01-11,1,19,94.124999,1,11,2014,6,0
"87611",26435791004,2014-01-11,0,20,93.6,1,11,2014,6,0
"91991",26435791004,2014-01-11,0,21,91.935,1,11,2014,6,0
"96371",26435791004,2014-01-11,0,22,88.605,1,11,2014,6,0
"100751",26435791004,2014-01-11,0,23,86.58,1,11,2014,6,0
"12",26435791004,2014-01-12,0,0,83.265,1,12,2014,0,0
"4392",26435791004,2014-01-12,0,1,82.47,1,12,2014,0,0
"8772",26435791004,2014-01-12,0,2,83.145,1,12,2014,0,0
"13152",26435791004,2014-01-12,0,3,84.18,1,12,2014,0,0
"17532",26435791004,2014-01-12,0,4,83.235,1,12,2014,0,0
"21912",26435791004,2014-01-12,0,5,83.67,1,12,2014,0,0
"26292",26435791004,2014-01-12,0,6,90.63,1,12,2014,0,0
"30672",26435791004,2014-01-12,1,7,83.58,1,12,2014,0,0
"35052",26435791004,2014-01-12,1,8,83.46,1,12,2014,0,0
"39432",26435791004,2014-01-12,1,9,84.195,1,12,2014,0,0
"43812",26435791004,2014-01-12,1,10,82.95,1,12,2014,0,0
"48192",26435791004,2014-01-12,1,11,83.34,1,12,2014,0,0
"52572",26435791004,2014-01-12,1,12,83.685,1,12,2014,0,0
"56952",26435791004,2014-01-12,1,13,83.265,1,12,2014,0,0
"61332",26435791004,2014-01-12,1,14,83.415,1,12,2014,0,0
"65712",26435791004,2014-01-12,1,15,88.515,1,12,2014,0,0
"70092",26435791004,2014-01-12,1,16,93.66,1,12,2014,0,0
"74472",26435791004,2014-01-12,1,17,95.52,1,12,2014,0,0
"78852",26435791004,2014-01-12,1,18,96.195,1,12,2014,0,0
"83232",26435791004,2014-01-12,1,19,95.76,1,12,2014,0,0
"87612",26435791004,2014-01-12,0,20,95.85,1,12,2014,0,0
"91992",26435791004,2014-01-12,0,21,97.124998,1,12,2014,0,0
"96372",26435791004,2014-01-12,0,22,88.98,1,12,2014,0,0
"100752",26435791004,2014-01-12,0,23,81.72,1,12,2014,0,0
"13",26435791004,2014-01-13,0,0,81.66,1,13,2014,1,1
"4393",26435791004,2014-01-13,0,1,82.38,1,13,2014,1,1
"8773",26435791004,2014-01-13,0,2,82.14,1,13,2014,1,1
"13153",26435791004,2014-01-13,0,3,82.485,1,13,2014,1,1
"17533",26435791004,2014-01-13,0,4,83.205,1,13,2014,1,1
"21913",26435791004,2014-01-13,0,5,86.025,1,13,2014,1,1
"26293",26435791004,2014-01-13,0,6,243.224995,1,13,2014,1,1
"30673",26435791004,2014-01-13,1,7,261.734995,1,13,2014,1,1
"35053",26435791004,2014-01-13,1,8,266.20499,1,13,2014,1,1
"39433",26435791004,2014-01-13,1,9,289.244991,1,13,2014,1,1
"43813",26435791004,2014-01-13,1,10,285.554997,1,13,2014,1,1
"48193",26435791004,2014-01-13,1,11,273.119996,1,13,2014,1,1
"52573",26435791004,2014-01-13,1,12,271.619994,1,13,2014,1,1
"56953",26435791004,2014-01-13,1,13,263.309995,1,13,2014,1,1
"61333",26435791004,2014-01-13,1,14,244.514994,1,13,2014,1,1
"65713",26435791004,2014-01-13,1,15,236.744993,1,13,2014,1,1
"70093",26435791004,2014-01-13,1,16,224.189993,1,13,2014,1,1
"74473",26435791004,2014-01-13,1,17,212.159995,1,13,2014,1,1
"78853",26435791004,2014-01-13,1,18,167.999998,1,13,2014,1,1
"83233",26435791004,2014-01-13,1,19,156.824998,1,13,2014,1,1
"87613",26435791004,2014-01-13,0,20,113.489995,1,13,2014,1,1
"91993",26435791004,2014-01-13,0,21,106.619997,1,13,2014,1,1
"96373",26435791004,2014-01-13,0,22,97.979999,1,13,2014,1,1
"100753",26435791004,2014-01-13,0,23,81.465,1,13,2014,1,1
"14",26435791004,2014-01-14,0,0,81.795,1,14,2014,2,1
"4394",26435791004,2014-01-14,0,1,80.79,1,14,2014,2,1
"8774",26435791004,2014-01-14,0,2,81.42,1,14,2014,2,1
"13154",26435791004,2014-01-14,0,3,82.305,1,14,2014,2,1
"17534",26435791004,2014-01-14,0,4,81.9,1,14,2014,2,1
"21914",26435791004,2014-01-14,0,5,82.41,1,14,2014,2,1
"26294",26435791004,2014-01-14,0,6,228.794996,1,14,2014,2,1
"30674",26435791004,2014-01-14,1,7,259.514994,1,14,2014,2,1
"35054",26435791004,2014-01-14,1,8,253.424995,1,14,2014,2,1
"39434",26435791004,2014-01-14,1,9,240.629994,1,14,2014,2,1
"43814",26435791004,2014-01-14,1,10,277.814992,1,14,2014,2,1
"48194",26435791004,2014-01-14,1,11,281.249994,1,14,2014,2,1
"52574",26435791004,2014-01-14,1,12,278.339991,1,14,2014,2,1
"56954",26435791004,2014-01-14,1,13,267.794993,1,14,2014,2,1
"61334",26435791004,2014-01-14,1,14,245.384996,1,14,2014,2,1
"65714",26435791004,2014-01-14,1,15,231.314995,1,14,2014,2,1
"70094",26435791004,2014-01-14,1,16,215.864996,1,14,2014,2,1
"74474",26435791004,2014-01-14,1,17,200.849995,1,14,2014,2,1
"78854",26435791004,2014-01-14,1,18,161.279998,1,14,2014,2,1
"83234",26435791004,2014-01-14,1,19,153.404997,1,14,2014,2,1
"87614",26435791004,2014-01-14,0,20,116.654997,1,14,2014,2,1
"91994",26435791004,2014-01-14,0,21,107.159998,1,14,2014,2,1
"96374",26435791004,2014-01-14,0,22,97.575,1,14,2014,2,1
"100754",26435791004,2014-01-14,0,23,81.36,1,14,2014,2,1
"15",26435791004,2014-01-15,0,0,80.895,1,15,2014,3,1
"4395",26435791004,2014-01-15,0,1,80.22,1,15,2014,3,1
"8775",26435791004,2014-01-15,0,2,80.4,1,15,2014,3,1
"13155",26435791004,2014-01-15,0,3,81.015,1,15,2014,3,1
"17535",26435791004,2014-01-15,0,4,81.075,1,15,2014,3,1
"21915",26435791004,2014-01-15,0,5,81.66,1,15,2014,3,1
"26295",26435791004,2014-01-15,0,6,231.914996,1,15,2014,3,1
"30675",26435791004,2014-01-15,1,7,246.149994,1,15,2014,3,1
"35055",26435791004,2014-01-15,1,8,258.764996,1,15,2014,3,1
"39435",26435791004,2014-01-15,1,9,283.139996,1,15,2014,3,1
"43815",26435791004,2014-01-15,1,10,277.469996,1,15,2014,3,1
"48195",26435791004,2014-01-15,1,11,269.024995,1,15,2014,3,1
"52575",26435791004,2014-01-15,1,12,274.019992,1,15,2014,3,1
"56955",26435791004,2014-01-15,1,13,268.649997,1,15,2014,3,1
"61335",26435791004,2014-01-15,1,14,244.904995,1,15,2014,3,1
"65715",26435791004,2014-01-15,1,15,237.224992,1,15,2014,3,1
"70095",26435791004,2014-01-15,1,16,227.654996,1,15,2014,3,1
"74475",26435791004,2014-01-15,1,17,217.214997,1,15,2014,3,1
"78855",26435791004,2014-01-15,1,18,162.059999,1,15,2014,3,1
"83235",26435791004,2014-01-15,1,19,152.204997,1,15,2014,3,1
"87615",26435791004,2014-01-15,0,20,114.494998,1,15,2014,3,1
"91995",26435791004,2014-01-15,0,21,105.599997,1,15,2014,3,1
"96375",26435791004,2014-01-15,0,22,97.889995,1,15,2014,3,1
"100755",26435791004,2014-01-15,0,23,80.61,1,15,2014,3,1
"16",26435791004,2014-01-16,0,0,79.35,1,16,2014,4,1
"4396",26435791004,2014-01-16,0,1,80.37,1,16,2014,4,1
"8776",26435791004,2014-01-16,0,2,80.04,1,16,2014,4,1
"13156",26435791004,2014-01-16,0,3,81.375,1,16,2014,4,1
"17536",26435791004,2014-01-16,0,4,80.355,1,16,2014,4,1
"21916",26435791004,2014-01-16,0,5,80.595,1,16,2014,4,1
