"","Day","Hour","Temp","KWH"
"1",20160613,18,70,148.559156769173
"2",20160613,19,70,146.624096765406
"3",20160613,20,69,142.435287659865
"4",20160613,21,67,135.99272945255
"5",20160613,22,65,129.550171245236
"6",20160613,23,63,123.107613037921
"7",20160614,0,61,171.376337123646
"8",20160614,1,60,167.187528018105
"9",20160614,2,59,162.998718912564
"10",20160614,3,58,158.809909807023
"11",20160614,4,57,154.621100701482
"12",20160614,5,56,150.432291595941
"13",20160614,6,56,148.497231592173
"14",20160614,7,58,151.069669791952
"15",20160614,8,61,155.895857093505
"16",20160614,9,64,160.722044395057
"17",20160614,10,67,165.54823169661
"18",20160614,11,69,168.120669896389
"19",20160614,12,71,170.693108096168
"20",20160614,13,73,173.265546295947
"21",20160614,14,75,175.837984495726
"22",20160614,15,75,173.902924491959
"23",20160614,16,75,171.967864488191
"24",20160614,17,75,170.032804484423
"25",20160614,18,74,165.843995378882
"26",20160614,19,73,161.655186273341
"27",20160614,20,71,155.212628066027
"28",20160614,21,68,146.516320756939
"29",20160614,22,66,140.073762549624
"30",20160614,23,65,135.884953444083
"31",20160615,0,64,183.995096553272
"32",20160615,1,63,179.806287447731
"33",20160615,2,62,175.61747834219
"34",20160615,3,61,171.428669236649
"35",20160615,4,61,169.493609232881
"36",20160615,5,60,165.30480012734
"37",20160615,6,61,165.623489225346
"38",20160615,7,65,172.703425628672
"39",20160615,8,68,177.529612930224
"40",20160615,9,71,182.355800231777
"41",20160615,10,74,187.181987533329
"42",20160615,11,76,189.754425733108
"43",20160615,12,77,190.073114831114
"44",20160615,13,78,190.39180392912
"45",20160615,14,78,188.456743925352
"46",20160615,15,79,188.775433023358
"47",20160615,16,79,186.84037301959
"48",20160615,17,78,182.651563914049
"49",20160615,18,77,178.462754808508
"50",20160615,19,75,172.020196601193
"51",20160615,20,74,167.831387495652
"52",20160615,21,72,161.388829288338
"53",20160615,22,70,154.946271081023
"54",20160615,23,69,150.757461975482
"55",20160616,0,68,190.039604901061
"56",20160616,1,67,185.85079579552
"57",20160616,2,65,179.408237588205
"58",20160616,3,63,172.965679380891
"59",20160616,4,62,168.776870275349
"60",20160616,5,61,164.588061169808
"61",20160616,6,61,162.653001166041
"62",20160616,7,64,167.479188467593
"63",20160616,8,68,174.559124870919
"64",20160616,9,71,179.385312172472
"65",20160616,10,74,184.211499474024
"66",20160616,11,76,186.783937673804
"67",20160616,12,76,184.848877670036
"68",20160616,13,77,185.167566768042
"69",20160616,14,77,183.232506764274
"70",20160616,15,77,181.297446760506
"71",20160616,16,76,177.108637654965
"72",20160616,17,75,172.919828549424
"73",20160616,18,74,168.731019443883
"74",20160616,19,72,162.288461236568
"75",20160616,20,71,158.099652131027
"76",20160616,21,68,149.403344821939
"77",20160616,22,66,142.960786614625
"78",20160616,23,65,138.771977509084
"79",20160617,0,63,170.841045267014
"80",20160617,1,63,168.905985263246
"81",20160617,2,62,164.717176157705
"82",20160617,3,61,160.528367052164
"83",20160617,4,60,156.339557946623
"84",20160617,5,60,154.404497942855
"85",20160617,6,60,152.469437939088
"86",20160617,7,63,157.29562524064
"87",20160617,8,65,159.868063440419
"88",20160617,9,66,160.186752538425
"89",20160617,10,67,160.505441636431
"90",20160617,11,67,158.570381632663
"91",20160617,12,67,156.635321628895
"92",20160617,13,68,156.954010726901
"93",20160617,14,67,152.76520162136
"94",20160617,15,67,150.830141617592
"95",20160617,16,67,148.895081613825
"96",20160617,17,67,146.960021610057
"97",20160617,18,66,142.771212504516
"98",20160617,19,64,136.328654297201
"99",20160617,20,63,132.13984519166
"100",20160617,21,61,125.697286984346
"101",20160617,22,59,119.254728777031
"102",20160617,23,59,117.319668773264
"103",20160618,0,58,102.442835113438
"104",20160618,1,58,100.50777510967
"105",20160618,2,58,98.5727151059026
"106",20160618,3,57,94.3839060003615
"107",20160618,4,57,92.4488459965938
"108",20160618,5,57,90.5137859928261
"109",20160618,6,58,90.8324750908318
"110",20160618,7,60,93.404913290611
"111",20160618,8,63,98.2311005921635
"112",20160618,9,64,98.5497896901693
"113",20160618,10,66,101.122227889948
"114",20160618,11,67,101.440916987954
"115",20160618,12,67,99.5058569841865
"116",20160618,13,68,99.8245460821922
"117",20160618,14,68,97.8894860784245
"118",20160618,15,69,98.2081751764303
