Day,Hr,Temp
5/25/2016,15,71
5/25/2016,16,73
5/25/2016,17,77
5/25/2016,18,83
5/25/2016,19,81
5/25/2016,20,79
5/25/2016,21,77
5/25/2016,22,74
5/25/2016,23,73
5/26/2016,0,72
5/26/2016,1,71
5/26/2016,2,70
5/26/2016,3,68
5/26/2016,4,67
5/26/2016,5,66
5/26/2016,6,66
5/26/2016,7,68
5/26/2016,8,71
5/26/2016,9,73
5/26/2016,10,73
5/26/2016,11,73
5/26/2016,12,75
5/26/2016,13,75
5/26/2016,14,76
5/26/2016,15,76
5/26/2016,16,75
5/26/2016,17,74
5/26/2016,18,74
5/26/2016,19,72
5/26/2016,20,70
5/26/2016,21,69
5/26/2016,22,67
5/26/2016,23,66
5/27/2016,0,65
5/27/2016,1,64
5/27/2016,2,63
5/27/2016,3,62
5/27/2016,4,62
5/27/2016,5,61
5/27/2016,6,61
5/27/2016,7,64
5/27/2016,8,66
5/27/2016,9,69
5/27/2016,10,71
5/27/2016,11,73
5/27/2016,12,74
5/27/2016,13,76
5/27/2016,14,77
5/27/2016,15,77
5/27/2016,16,77
5/27/2016,17,77
5/27/2016,18,77
5/27/2016,19,75
5/27/2016,20,73
5/27/2016,21,71
5/27/2016,22,69
5/27/2016,23,68
5/28/2016,0,67
5/28/2016,1,67
5/28/2016,2,66
5/28/2016,3,65
5/28/2016,4,63
5/28/2016,5,63
5/28/2016,6,64
5/28/2016,7,67
5/28/2016,8,71
5/28/2016,9,75
5/28/2016,10,77
5/28/2016,11,80
5/28/2016,12,81
5/28/2016,13,82
5/28/2016,14,81
5/28/2016,15,82
5/28/2016,16,81
5/28/2016,17,79
5/28/2016,18,77
5/28/2016,19,73
5/28/2016,20,70
5/28/2016,21,75
5/28/2016,22,74
5/28/2016,23,73
5/29/2016,0,71
5/29/2016,1,71
5/29/2016,2,70
5/29/2016,3,69
5/29/2016,4,67
5/29/2016,5,66
5/29/2016,6,65
5/29/2016,7,66
5/29/2016,8,67
5/29/2016,9,67
5/29/2016,10,67
5/29/2016,11,66
5/29/2016,12,66
5/29/2016,13,66
5/29/2016,14,65
5/29/2016,15,66
5/29/2016,16,65
5/29/2016,17,64
5/29/2016,18,64
5/29/2016,19,63
5/29/2016,20,62
5/29/2016,21,61
5/29/2016,22,60
5/29/2016,23,60
5/30/2016,0,60
5/30/2016,1,59
5/30/2016,2,59
5/30/2016,3,59
5/30/2016,4,59
5/30/2016,5,59
5/30/2016,6,59
5/30/2016,7,61
5/30/2016,8,64
5/30/2016,9,66
5/30/2016,10,66
5/30/2016,11,67
5/30/2016,12,68
5/30/2016,13,69
5/30/2016,14,71
5/30/2016,15,72
5/30/2016,16,72
5/30/2016,17,72
5/30/2016,18,72
5/30/2016,19,70
5/30/2016,20,70
5/30/2016,21,68
5/30/2016,22,67
5/30/2016,23,66
5/31/2016,0,66
5/31/2016,1,65
5/31/2016,2,65
5/31/2016,3,64
5/31/2016,4,64
5/31/2016,5,64
5/31/2016,6,64
5/31/2016,7,66
5/31/2016,8,69
5/31/2016,9,71
5/31/2016,10,71
5/31/2016,11,72
5/31/2016,12,74
5/31/2016,13,75
5/31/2016,14,76
5/31/2016,15,76
5/31/2016,16,78
5/31/2016,17,78
5/31/2016,18,76
5/31/2016,19,74
5/31/2016,20,72
5/31/2016,21,70
5/31/2016,22,70
5/31/2016,23,69
