"","Account","Date","month","day","year","Day of Week","Weekday","kWh","hour","Peakhour","Temp"
"1",999999999,2014-01-01,1,1,2014,3,1,78.405,0,0,23
"2",999999999,2014-01-01,1,1,2014,3,1,76.425,1,0,21.9
"3",999999999,2014-01-01,1,1,2014,3,1,78.015,2,0,21.9
"4",999999999,2014-01-01,1,1,2014,3,1,78.12,3,0,21.9
"5",999999999,2014-01-01,1,1,2014,3,1,77.535,4,0,21
"6",999999999,2014-01-01,1,1,2014,3,1,104.099999,5,0,21
"7",999999999,2014-01-01,1,1,2014,3,1,158.264998,6,0,21
"8",999999999,2014-01-01,1,1,2014,3,1,93.6,20,0,23
"9",999999999,2014-01-01,1,1,2014,3,1,79.35,21,0,21.9
"10",999999999,2014-01-01,1,1,2014,3,1,76.44,22,0,23
"11",999999999,2014-01-01,1,1,2014,3,1,78.975,23,0,23
"12",999999999,2014-01-10,1,10,2014,5,1,20.145,6,0,24.1
"13",999999999,2014-01-13,1,13,2014,1,1,22.905,6,0,30.9
"14",999999999,2014-01-15,1,15,2014,3,1,6.975,6,0,36
"15",999999999,2014-01-16,1,16,2014,4,1,4.365,6,0,35.0666666666667
"16",999999999,2014-01-17,1,17,2014,5,1,9.075,6,0,36
"17",999999999,2014-01-02,1,2,2014,4,1,78.66,0,0,21
"18",999999999,2014-01-02,1,2,2014,4,1,77.385,1,0,20.1666666666667
"19",999999999,2014-01-02,1,2,2014,4,1,79.485,2,0,19.2
"20",999999999,2014-01-02,1,2,2014,4,1,83.685,3,0,19.2
"21",999999999,2014-01-02,1,2,2014,4,1,162.194999,4,0,19.2
"22",999999999,2014-01-02,1,2,2014,4,1,170.474997,5,0,19.2666666666667
"23",999999999,2014-01-02,1,2,2014,4,1,78.2911585661037,6,0,19.2666666666667
"24",999999999,2014-01-20,1,20,2014,1,1,10.695,6,0,34
"25",999999999,2014-01-21,1,21,2014,2,1,21.75,6,0,14
"26",999999999,2014-01-22,1,22,2014,3,1,12.465,6,0,8.35
"27",999999999,2014-01-23,1,23,2014,4,1,16.71,6,0,6.1
"28",999999999,2014-01-24,1,24,2014,5,1,18.33,6,0,8.1
"29",999999999,2014-01-24,1,24,2014,5,1,9.9,20,0,15.1
"30",999999999,2014-01-24,1,24,2014,5,1,2.505,21,0,15.1
"31",999999999,2014-01-24,1,24,2014,5,1,0.45,22,0,15.1
"32",999999999,2014-01-27,1,27,2014,1,1,3.99,6,0,30.9
"33",999999999,2014-01-28,1,28,2014,2,1,0.045,5,0,12.9
"34",999999999,2014-01-28,1,28,2014,2,1,12.465,6,0,12.9
"35",999999999,2014-01-29,1,29,2014,3,1,12.645,6,0,15.1
"36",999999999,2014-01-03,1,3,2014,5,1,6.975,6,0,3.1
"37",999999999,2014-01-30,1,30,2014,4,1,1.545,6,0,17.1
"38",999999999,2014-01-31,1,31,2014,5,1,18.285,6,0,27
"39",999999999,2014-01-06,1,6,2014,1,1,0.21,5,0,44.7333333333333
"40",999999999,2014-01-06,1,6,2014,1,1,1.35,6,0,46.9
