"","Account","Date","month","day","year","Day of Week","Weekday","kWh","hour","Peakhour"
"10",999999999,2014-01-10,1,10,2014,5,1,0,0,0
"4018",999999999,2014-01-10,1,10,2014,5,1,0,1,0
"8026",999999999,2014-01-10,1,10,2014,5,1,0,2,0
"12034",999999999,2014-01-10,1,10,2014,5,1,0,3,0
"16042",999999999,2014-01-10,1,10,2014,5,1,0,4,0
"20050",999999999,2014-01-10,1,10,2014,5,1,0,5,0
"64138",999999999,2014-01-10,1,10,2014,5,1,0,16,1
"68146",999999999,2014-01-10,1,10,2014,5,1,0,17,1
"72154",999999999,2014-01-10,1,10,2014,5,1,0,18,1
"76162",999999999,2014-01-10,1,10,2014,5,1,0,19,1
"80170",999999999,2014-01-10,1,10,2014,5,1,0,20,0
"84178",999999999,2014-01-10,1,10,2014,5,1,0,21,0
"88186",999999999,2014-01-10,1,10,2014,5,1,0,22,0
"92194",999999999,2014-01-10,1,10,2014,5,1,0,23,0
"11",999999999,2014-01-11,1,11,2014,6,0,0,0,0
"4019",999999999,2014-01-11,1,11,2014,6,0,0,1,0
"8027",999999999,2014-01-11,1,11,2014,6,0,0,2,0
"12035",999999999,2014-01-11,1,11,2014,6,0,0,3,0
"16043",999999999,2014-01-11,1,11,2014,6,0,0,4,0
"20051",999999999,2014-01-11,1,11,2014,6,0,0,5,0
"24059",999999999,2014-01-11,1,11,2014,6,0,0,6,0
"28067",999999999,2014-01-11,1,11,2014,6,0,0,7,1
"32075",999999999,2014-01-11,1,11,2014,6,0,0,8,1
"36083",999999999,2014-01-11,1,11,2014,6,0,0,9,1
"40091",999999999,2014-01-11,1,11,2014,6,0,0,10,1
"44099",999999999,2014-01-11,1,11,2014,6,0,0,11,1
"48107",999999999,2014-01-11,1,11,2014,6,0,0,12,1
"52115",999999999,2014-01-11,1,11,2014,6,0,0,13,1
"56123",999999999,2014-01-11,1,11,2014,6,0,0,14,1
"60131",999999999,2014-01-11,1,11,2014,6,0,0,15,1
"64139",999999999,2014-01-11,1,11,2014,6,0,0,16,1
"68147",999999999,2014-01-11,1,11,2014,6,0,0,17,1
"72155",999999999,2014-01-11,1,11,2014,6,0,0,18,1
"76163",999999999,2014-01-11,1,11,2014,6,0,0,19,1
"80171",999999999,2014-01-11,1,11,2014,6,0,0,20,0
"84179",999999999,2014-01-11,1,11,2014,6,0,0,21,0
"88187",999999999,2014-01-11,1,11,2014,6,0,0,22,0
"92195",999999999,2014-01-11,1,11,2014,6,0,0,23,0
"12",999999999,2014-01-12,1,12,2014,0,0,0,0,0
"4020",999999999,2014-01-12,1,12,2014,0,0,0,1,0
"8028",999999999,2014-01-12,1,12,2014,0,0,0,2,0
"12036",999999999,2014-01-12,1,12,2014,0,0,0,3,0
"16044",999999999,2014-01-12,1,12,2014,0,0,0,4,0
"20052",999999999,2014-01-12,1,12,2014,0,0,0,5,0
"24060",999999999,2014-01-12,1,12,2014,0,0,0,6,0
"28068",999999999,2014-01-12,1,12,2014,0,0,0,7,1
"32076",999999999,2014-01-12,1,12,2014,0,0,0,8,1
"36084",999999999,2014-01-12,1,12,2014,0,0,0,9,1
"40092",999999999,2014-01-12,1,12,2014,0,0,0,10,1
"44100",999999999,2014-01-12,1,12,2014,0,0,0,11,1
"48108",999999999,2014-01-12,1,12,2014,0,0,0,12,1
"52116",999999999,2014-01-12,1,12,2014,0,0,0,13,1
"56124",999999999,2014-01-12,1,12,2014,0,0,0,14,1
"60132",999999999,2014-01-12,1,12,2014,0,0,0,15,1
"64140",999999999,2014-01-12,1,12,2014,0,0,0,16,1
"68148",999999999,2014-01-12,1,12,2014,0,0,0,17,1
"72156",999999999,2014-01-12,1,12,2014,0,0,0,18,1
"76164",999999999,2014-01-12,1,12,2014,0,0,0,19,1
"80172",999999999,2014-01-12,1,12,2014,0,0,0,20,0
"84180",999999999,2014-01-12,1,12,2014,0,0,0,21,0
"88188",999999999,2014-01-12,1,12,2014,0,0,0,22,0
"92196",999999999,2014-01-12,1,12,2014,0,0,0,23,0
"13",999999999,2014-01-13,1,13,2014,1,1,0,0,0
"4021",999999999,2014-01-13,1,13,2014,1,1,0,1,0
"8029",999999999,2014-01-13,1,13,2014,1,1,0,2,0
"12037",999999999,2014-01-13,1,13,2014,1,1,0,3,0
"16045",999999999,2014-01-13,1,13,2014,1,1,0,4,0
"20053",999999999,2014-01-13,1,13,2014,1,1,0,5,0
"68149",999999999,2014-01-13,1,13,2014,1,1,0,17,1
"72157",999999999,2014-01-13,1,13,2014,1,1,0,18,1
"76165",999999999,2014-01-13,1,13,2014,1,1,0,19,1
"80173",999999999,2014-01-13,1,13,2014,1,1,0,20,0
"84181",999999999,2014-01-13,1,13,2014,1,1,0,21,0
"88189",999999999,2014-01-13,1,13,2014,1,1,0,22,0
"92197",999999999,2014-01-13,1,13,2014,1,1,0,23,0
"14",999999999,2014-01-14,1,14,2014,2,1,0,0,0
"4022",999999999,2014-01-14,1,14,2014,2,1,0,1,0
"8030",999999999,2014-01-14,1,14,2014,2,1,0,2,0
"12038",999999999,2014-01-14,1,14,2014,2,1,0,3,0
"16046",999999999,2014-01-14,1,14,2014,2,1,0,4,0
"20054",999999999,2014-01-14,1,14,2014,2,1,0,5,0
"24062",999999999,2014-01-14,1,14,2014,2,1,0,6,0
"68150",999999999,2014-01-14,1,14,2014,2,1,0,17,1
"72158",999999999,2014-01-14,1,14,2014,2,1,0,18,1
"76166",999999999,2014-01-14,1,14,2014,2,1,0,19,1
"80174",999999999,2014-01-14,1,14,2014,2,1,0,20,0
"84182",999999999,2014-01-14,1,14,2014,2,1,0,21,0
"88190",999999999,2014-01-14,1,14,2014,2,1,0,22,0
"92198",999999999,2014-01-14,1,14,2014,2,1,0,23,0
"15",999999999,2014-01-15,1,15,2014,3,1,0,0,0
"4023",999999999,2014-01-15,1,15,2014,3,1,0,1,0
"8031",999999999,2014-01-15,1,15,2014,3,1,0,2,0
"12039",999999999,2014-01-15,1,15,2014,3,1,0,3,0
"16047",999999999,2014-01-15,1,15,2014,3,1,0,4,0
"20055",999999999,2014-01-15,1,15,2014,3,1,0,5,0
"64143",999999999,2014-01-15,1,15,2014,3,1,0,16,1
"68151",999999999,2014-01-15,1,15,2014,3,1,0,17,1
"72159",999999999,2014-01-15,1,15,2014,3,1,0,18,1
"76167",999999999,2014-01-15,1,15,2014,3,1,0,19,1
"80175",999999999,2014-01-15,1,15,2014,3,1,0,20,0
"84183",999999999,2014-01-15,1,15,2014,3,1,0,21,0
"88191",999999999,2014-01-15,1,15,2014,3,1,0,22,0
"92199",999999999,2014-01-15,1,15,2014,3,1,0,23,0
"16",999999999,2014-01-16,1,16,2014,4,1,0,0,0
"4024",999999999,2014-01-16,1,16,2014,4,1,0,1,0
"8032",999999999,2014-01-16,1,16,2014,4,1,0,2,0
"12040",999999999,2014-01-16,1,16,2014,4,1,0,3,0
"16048",999999999,2014-01-16,1,16,2014,4,1,0,4,0
"20056",999999999,2014-01-16,1,16,2014,4,1,0,5,0
"64144",999999999,2014-01-16,1,16,2014,4,1,0,16,1
"68152",999999999,2014-01-16,1,16,2014,4,1,0,17,1
"72160",999999999,2014-01-16,1,16,2014,4,1,0,18,1
"76168",999999999,2014-01-16,1,16,2014,4,1,0,19,1
"80176",999999999,2014-01-16,1,16,2014,4,1,0,20,0
"84184",999999999,2014-01-16,1,16,2014,4,1,0,21,0
"88192",999999999,2014-01-16,1,16,2014,4,1,0,22,0
"92200",999999999,2014-01-16,1,16,2014,4,1,0,23,0
"17",999999999,2014-01-17,1,17,2014,5,1,0,0,0
"4025",999999999,2014-01-17,1,17,2014,5,1,0,1,0
"8033",999999999,2014-01-17,1,17,2014,5,1,0,2,0
"12041",999999999,2014-01-17,1,17,2014,5,1,0,3,0
"16049",999999999,2014-01-17,1,17,2014,5,1,0,4,0
"20057",999999999,2014-01-17,1,17,2014,5,1,0,5,0
"64145",999999999,2014-01-17,1,17,2014,5,1,0,16,1
"68153",999999999,2014-01-17,1,17,2014,5,1,0,17,1
"72161",999999999,2014-01-17,1,17,2014,5,1,0,18,1
"76169",999999999,2014-01-17,1,17,2014,5,1,0,19,1
"80177",999999999,2014-01-17,1,17,2014,5,1,0,20,0
"84185",999999999,2014-01-17,1,17,2014,5,1,0,21,0
"88193",999999999,2014-01-17,1,17,2014,5,1,0,22,0
"92201",999999999,2014-01-17,1,17,2014,5,1,0,23,0
"18",999999999,2014-01-18,1,18,2014,6,0,0,0,0
"4026",999999999,2014-01-18,1,18,2014,6,0,0,1,0
"8034",999999999,2014-01-18,1,18,2014,6,0,0,2,0
"12042",999999999,2014-01-18,1,18,2014,6,0,0,3,0
"16050",999999999,2014-01-18,1,18,2014,6,0,0,4,0
"20058",999999999,2014-01-18,1,18,2014,6,0,0,5,0
"24066",999999999,2014-01-18,1,18,2014,6,0,0,6,0
"28074",999999999,2014-01-18,1,18,2014,6,0,0,7,1
"32082",999999999,2014-01-18,1,18,2014,6,0,0,8,1
"36090",999999999,2014-01-18,1,18,2014,6,0,0,9,1
"40098",999999999,2014-01-18,1,18,2014,6,0,0,10,1
"44106",999999999,2014-01-18,1,18,2014,6,0,0,11,1
"48114",999999999,2014-01-18,1,18,2014,6,0,0,12,1
"52122",999999999,2014-01-18,1,18,2014,6,0,0,13,1
"56130",999999999,2014-01-18,1,18,2014,6,0,0,14,1
"60138",999999999,2014-01-18,1,18,2014,6,0,0,15,1
"64146",999999999,2014-01-18,1,18,2014,6,0,0,16,1
"68154",999999999,2014-01-18,1,18,2014,6,0,0,17,1
"72162",999999999,2014-01-18,1,18,2014,6,0,0,18,1
"76170",999999999,2014-01-18,1,18,2014,6,0,0,19,1
"80178",999999999,2014-01-18,1,18,2014,6,0,0,20,0
"84186",999999999,2014-01-18,1,18,2014,6,0,0,21,0
"88194",999999999,2014-01-18,1,18,2014,6,0,0,22,0
"92202",999999999,2014-01-18,1,18,2014,6,0,0,23,0
"19",999999999,2014-01-19,1,19,2014,0,0,0,0,0
"4027",999999999,2014-01-19,1,19,2014,0,0,0,1,0
"8035",999999999,2014-01-19,1,19,2014,0,0,0,2,0
"12043",999999999,2014-01-19,1,19,2014,0,0,0,3,0
"16051",999999999,2014-01-19,1,19,2014,0,0,0,4,0
"20059",999999999,2014-01-19,1,19,2014,0,0,0,5,0
"24067",999999999,2014-01-19,1,19,2014,0,0,0,6,0
"28075",999999999,2014-01-19,1,19,2014,0,0,0,7,1
"32083",999999999,2014-01-19,1,19,2014,0,0,0,8,1
"36091",999999999,2014-01-19,1,19,2014,0,0,0,9,1
"40099",999999999,2014-01-19,1,19,2014,0,0,0,10,1
"44107",999999999,2014-01-19,1,19,2014,0,0,0,11,1
"48115",999999999,2014-01-19,1,19,2014,0,0,0,12,1
"52123",999999999,2014-01-19,1,19,2014,0,0,0,13,1
"56131",999999999,2014-01-19,1,19,2014,0,0,0,14,1
"60139",999999999,2014-01-19,1,19,2014,0,0,0,15,1
"64147",999999999,2014-01-19,1,19,2014,0,0,0,16,1
"68155",999999999,2014-01-19,1,19,2014,0,0,0,17,1
"72163",999999999,2014-01-19,1,19,2014,0,0,0,18,1
"76171",999999999,2014-01-19,1,19,2014,0,0,0,19,1
"80179",999999999,2014-01-19,1,19,2014,0,0,0,20,0
"84187",999999999,2014-01-19,1,19,2014,0,0,0,21,0
"88195",999999999,2014-01-19,1,19,2014,0,0,0,22,0
"92203",999999999,2014-01-19,1,19,2014,0,0,0,23,0
"64130",999999999,2014-01-02,1,2,2014,4,1,0,16,1
"68138",999999999,2014-01-02,1,2,2014,4,1,0,17,1
"72146",999999999,2014-01-02,1,2,2014,4,1,0,18,1
"76154",999999999,2014-01-02,1,2,2014,4,1,0,19,1
"80162",999999999,2014-01-02,1,2,2014,4,1,0,20,0
