"","Account","Date","month","day","year","Day of Week","Weekday","hour","Peakhour","kWh"
"10",999999999,2014-01-10,1,10,2014,5,1,0,0,11.2241905404953
"4018",999999999,2014-01-10,1,10,2014,5,1,1,0,9.71178649627836
"8026",999999999,2014-01-10,1,10,2014,5,1,2,0,8.1993824520614
"12034",999999999,2014-01-10,1,10,2014,5,1,3,0,6.68697840784444
"16042",999999999,2014-01-10,1,10,2014,5,1,4,0,5.17457436362747
"20050",999999999,2014-01-10,1,10,2014,5,1,5,0,3.66217031941051
"64138",999999999,2014-01-10,1,10,2014,5,1,16,1,74.616709166381
"68146",999999999,2014-01-10,1,10,2014,5,1,17,1,73.1043051221641
"72154",999999999,2014-01-10,1,10,2014,5,1,18,1,71.5919010779471
"76162",999999999,2014-01-10,1,10,2014,5,1,19,1,70.0794970337301
"80170",999999999,2014-01-10,1,10,2014,5,1,20,0,-19.023890343844
"84178",999999999,2014-01-10,1,10,2014,5,1,21,0,-20.5362943880609
"88186",999999999,2014-01-10,1,10,2014,5,1,22,0,-22.0486984322779
"92194",999999999,2014-01-10,1,10,2014,5,1,23,0,-23.5611024764949
"11",999999999,2014-01-11,1,11,2014,6,0,0,0,-57.1827979601803
"4019",999999999,2014-01-11,1,11,2014,6,0,1,0,-58.6952020043973
"8027",999999999,2014-01-11,1,11,2014,6,0,2,0,-60.2076060486143
"12035",999999999,2014-01-11,1,11,2014,6,0,3,0,-61.7200100928312
"16043",999999999,2014-01-11,1,11,2014,6,0,4,0,-63.2324141370482
"20051",999999999,2014-01-11,1,11,2014,6,0,5,0,-64.7448181812651
"24059",999999999,2014-01-11,1,11,2014,6,0,6,0,-66.2572222254821
"28067",999999999,2014-01-11,1,11,2014,6,0,7,1,19.8213570636581
"32075",999999999,2014-01-11,1,11,2014,6,0,8,1,18.3089530194411
"36083",999999999,2014-01-11,1,11,2014,6,0,9,1,16.7965489752241
"40091",999999999,2014-01-11,1,11,2014,6,0,10,1,15.2841449310072
"44099",999999999,2014-01-11,1,11,2014,6,0,11,1,13.7717408867902
"48107",999999999,2014-01-11,1,11,2014,6,0,12,1,12.2593368425732
"52115",999999999,2014-01-11,1,11,2014,6,0,13,1,10.7469327983563
"56123",999999999,2014-01-11,1,11,2014,6,0,14,1,9.23452875413932
"60131",999999999,2014-01-11,1,11,2014,6,0,15,1,7.72212470992235
"64139",999999999,2014-01-11,1,11,2014,6,0,16,1,6.20972066570539
"68147",999999999,2014-01-11,1,11,2014,6,0,17,1,4.69731662148843
"72155",999999999,2014-01-11,1,11,2014,6,0,18,1,3.18491257727146
"76163",999999999,2014-01-11,1,11,2014,6,0,19,1,1.6725085330545
"80171",999999999,2014-01-11,1,11,2014,6,0,20,0,-87.4308788445196
"84179",999999999,2014-01-11,1,11,2014,6,0,21,0,-88.9432828887366
"88187",999999999,2014-01-11,1,11,2014,6,0,22,0,-90.4556869329535
"92195",999999999,2014-01-11,1,11,2014,6,0,23,0,-91.9680909771705
"12",999999999,2014-01-12,1,12,2014,0,0,0,0,-57.6075481246226
"4020",999999999,2014-01-12,1,12,2014,0,0,1,0,-59.1199521688395
"8028",999999999,2014-01-12,1,12,2014,0,0,2,0,-60.6323562130565
"12036",999999999,2014-01-12,1,12,2014,0,0,3,0,-62.1447602572734
"16044",999999999,2014-01-12,1,12,2014,0,0,4,0,-63.6571643014904
"20052",999999999,2014-01-12,1,12,2014,0,0,5,0,-65.1695683457074
"24060",999999999,2014-01-12,1,12,2014,0,0,6,0,-66.6819723899243
"28068",999999999,2014-01-12,1,12,2014,0,0,7,1,19.3966068992158
