"","Date","Hour","Temp"
"1",2014-01-01,0,23
"333",2014-01-01,1,21.9
"667",2014-01-01,2,21.9
"999",2014-01-01,3,21.9
"1332",2014-01-01,4,21
"1661",2014-01-01,5,21
"1992",2014-01-01,6,21
"2323",2014-01-01,7,19.9
"2654",2014-01-01,8,23
"2986",2014-01-01,9,24.1
"3318",2014-01-01,10,26.1
"3647",2014-01-01,11,26.1
"3976",2014-01-01,12,27
"4306",2014-01-01,13,28
"4637",2014-01-01,14,27
"4968",2014-01-01,15,27
"5301",2014-01-01,16,26.1
"5633",2014-01-01,17,25
"5965",2014-01-01,18,24.1
"6296",2014-01-01,19,24.1
"6630",2014-01-01,20,23
"6964",2014-01-01,21,21.9
"7295",2014-01-01,22,23
"7622",2014-01-01,23,23
"2",2014-01-02,0,21
"334",2014-01-02,1,20.1666666666667
"668",2014-01-02,2,19.2
"1000",2014-01-02,3,19.2
"1333",2014-01-02,4,19.2
"1662",2014-01-02,5,19.2666666666667
"1993",2014-01-02,6,19.2666666666667
"2324",2014-01-02,7,19.2
"2655",2014-01-02,8,19.5666666666667
"2987",2014-01-02,9,24.1
"3319",2014-01-02,10,25.8
"3648",2014-01-02,11,24.5666666666667
"3977",2014-01-02,12,24.1
"4307",2014-01-02,13,25.8333333333333
"4638",2014-01-02,14,19.9
"4969",2014-01-02,15,13.95
"5302",2014-01-02,16,12.1333333333333
"5634",2014-01-02,17,10.3
"5966",2014-01-02,18,8.1
"6297",2014-01-02,19,6.1
"6631",2014-01-02,20,6.45
"6965",2014-01-02,21,4.45
"7296",2014-01-02,22,3.1
"7623",2014-01-02,23,2.76666666666667
"3",2014-01-03,0,1.56666666666667
"335",2014-01-03,1,1.9
"669",2014-01-03,2,1.9
"1001",2014-01-03,3,1.9
"1334",2014-01-03,4,1.65
"1663",2014-01-03,5,3.1
"1994",2014-01-03,6,3.1
"2325",2014-01-03,7,3.9
"2656",2014-01-03,8,5
"2988",2014-01-03,9,6.1
"3320",2014-01-03,10,8.8
"3649",2014-01-03,11,9.75
"3978",2014-01-03,12,12
"4308",2014-01-03,13,14
"4639",2014-01-03,14,14
"4970",2014-01-03,15,12.9
"5303",2014-01-03,16,10.9
"5635",2014-01-03,17,9
"5967",2014-01-03,18,7
"6298",2014-01-03,19,6.1
"6632",2014-01-03,20,5
"6966",2014-01-03,21,3.9
"7297",2014-01-03,22,3.9
"7624",2014-01-03,23,3.9
"4",2014-01-04,0,3.9
"336",2014-01-04,1,3.9
"670",2014-01-04,2,3
"1002",2014-01-04,3,3.9
"1335",2014-01-04,4,3
"1664",2014-01-04,5,1.9
"1995",2014-01-04,6,1.9
"2326",2014-01-04,7,3
"2657",2014-01-04,8,7
"2989",2014-01-04,9,10
"3321",2014-01-04,10,14
"3650",2014-01-04,11,19
"3979",2014-01-04,12,21
"4309",2014-01-04,13,23
"4640",2014-01-04,14,24.1
"4971",2014-01-04,15,25
"5304",2014-01-04,16,26.1
"5636",2014-01-04,17,26.1
"5968",2014-01-04,18,27
"6299",2014-01-04,19,27
"6633",2014-01-04,20,26.1
"6967",2014-01-04,21,27
"7298",2014-01-04,22,27
"7625",2014-01-04,23,27
"5",2014-01-05,0,27
"337",2014-01-05,1,26.1
"671",2014-01-05,2,25
"1003",2014-01-05,3,25
"1336",2014-01-05,4,26.1
"1665",2014-01-05,5,25
"1996",2014-01-05,6,25
"2327",2014-01-05,7,24.1
"2658",2014-01-05,8,27
"2990",2014-01-05,9,27
"3322",2014-01-05,10,30
"3651",2014-01-05,11,34
"3980",2014-01-05,12,36
"4310",2014-01-05,13,36
"4641",2014-01-05,14,36
"4972",2014-01-05,15,35.1
"5305",2014-01-05,16,34.45
"5637",2014-01-05,17,36
"5969",2014-01-05,18,35.0666666666667
"6300",2014-01-05,19,36
"6634",2014-01-05,20,36.7
"6968",2014-01-05,21,37.2
"7299",2014-01-05,22,37.5666666666667
"7626",2014-01-05,23,37.0333333333333
"6",2014-01-06,0,39
"338",2014-01-06,1,37.9333333333333
"672",2014-01-06,2,40.2
"1004",2014-01-06,3,43
"1337",2014-01-06,4,44.1
"1666",2014-01-06,5,44.7333333333333
"1997",2014-01-06,6,46.9
"2328",2014-01-06,7,48.1
"2659",2014-01-06,8,48.1333333333333
"2991",2014-01-06,9,51.1
"3323",2014-01-06,10,52.4666666666667
"3652",2014-01-06,11,54.5833333333333
"3981",2014-01-06,12,55.65
"4311",2014-01-06,13,53.8
"4642",2014-01-06,14,53.35
"4973",2014-01-06,15,48
"5306",2014-01-06,16,45
"5638",2014-01-06,17,38.875
"5970",2014-01-06,18,38.1
"6301",2014-01-06,19,35.1
"6635",2014-01-06,20,33.1
"6969",2014-01-06,21,32
"7300",2014-01-06,22,30.9
"7627",2014-01-06,23,28.9
"7",2014-01-07,0,28
"339",2014-01-07,1,27
"673",2014-01-07,2,26.1
"1005",2014-01-07,3,19.9
"1338",2014-01-07,4,17.1
"1667",2014-01-07,5,15.1
"1998",2014-01-07,6,12.9
"2329",2014-01-07,7,12
"2660",2014-01-07,8,12.9
"2992",2014-01-07,9,14
"3324",2014-01-07,10,15.1
"3653",2014-01-07,11,15.1
"3982",2014-01-07,12,16
"4312",2014-01-07,13,15.1
"4643",2014-01-07,14,15.1
"4974",2014-01-07,15,12.9
"5307",2014-01-07,16,12
"5639",2014-01-07,17,10.9
"5971",2014-01-07,18,10
"6302",2014-01-07,19,10
"6636",2014-01-07,20,10
"6970",2014-01-07,21,10
"7301",2014-01-07,22,10
"7628",2014-01-07,23,10
"8",2014-01-08,0,9
"340",2014-01-08,1,8.1
"674",2014-01-08,2,8.1
"1006",2014-01-08,3,8.1
"1339",2014-01-08,4,8.1
"1668",2014-01-08,5,8.1
"1999",2014-01-08,6,7
"2330",2014-01-08,7,8.1
"2661",2014-01-08,8,10.9
"2993",2014-01-08,9,14
"3325",2014-01-08,10,17.1
"3654",2014-01-08,11,19.9
"3983",2014-01-08,12,21.9
"4313",2014-01-08,13,21
"4644",2014-01-08,14,21.9
"4975",2014-01-08,15,21
"5308",2014-01-08,16,19.9
"5640",2014-01-08,17,19.9
"5972",2014-01-08,18,19.9
"6303",2014-01-08,19,19
