"","Account","Date","month","day","year","Day of Week","Weekday","kWh","hour","Peakhour"
"1",999999999,2014-01-01,1,1,2014,3,1,78.405,0,0
"4009",999999999,2014-01-01,1,1,2014,3,1,76.425,1,0
"8017",999999999,2014-01-01,1,1,2014,3,1,78.015,2,0
"12025",999999999,2014-01-01,1,1,2014,3,1,78.12,3,0
"16033",999999999,2014-01-01,1,1,2014,3,1,77.535,4,0
"20041",999999999,2014-01-01,1,1,2014,3,1,104.099999,5,0
"24049",999999999,2014-01-01,1,1,2014,3,1,158.264998,6,0
"28057",999999999,2014-01-01,1,1,2014,3,1,249.164995,7,1
"32065",999999999,2014-01-01,1,1,2014,3,1,240.524994,8,1
"36073",999999999,2014-01-01,1,1,2014,3,1,224.069994,9,1
"40081",999999999,2014-01-01,1,1,2014,3,1,223.394993,10,1
"44089",999999999,2014-01-01,1,1,2014,3,1,215.039996,11,1
"48097",999999999,2014-01-01,1,1,2014,3,1,210.675,12,1
"52105",999999999,2014-01-01,1,1,2014,3,1,196.049998,13,1
"56113",999999999,2014-01-01,1,1,2014,3,1,196.559993,14,1
"60121",999999999,2014-01-01,1,1,2014,3,1,151.829996,15,1
"64129",999999999,2014-01-01,1,1,2014,3,1,103.739998,16,1
"68137",999999999,2014-01-01,1,1,2014,3,1,99.584999,17,1
"72145",999999999,2014-01-01,1,1,2014,3,1,97.589998,18,1
"76153",999999999,2014-01-01,1,1,2014,3,1,91.47,19,1
"80161",999999999,2014-01-01,1,1,2014,3,1,93.6,20,0
"84169",999999999,2014-01-01,1,1,2014,3,1,79.35,21,0
"88177",999999999,2014-01-01,1,1,2014,3,1,76.44,22,0
"92185",999999999,2014-01-01,1,1,2014,3,1,78.975,23,0
"10",999999999,2014-01-10,1,10,2014,5,1,0,0,0
"4018",999999999,2014-01-10,1,10,2014,5,1,0,1,0
"8026",999999999,2014-01-10,1,10,2014,5,1,0,2,0
"12034",999999999,2014-01-10,1,10,2014,5,1,0,3,0
"16042",999999999,2014-01-10,1,10,2014,5,1,0,4,0
"20050",999999999,2014-01-10,1,10,2014,5,1,0,5,0
"24058",999999999,2014-01-10,1,10,2014,5,1,20.145,6,0
"28066",999999999,2014-01-10,1,10,2014,5,1,93.044999,7,1
"32074",999999999,2014-01-10,1,10,2014,5,1,126.479999,8,1
"36082",999999999,2014-01-10,1,10,2014,5,1,125.699994,9,1
"40090",999999999,2014-01-10,1,10,2014,5,1,115.29,10,1
"44098",999999999,2014-01-10,1,10,2014,5,1,95.64,11,1
"48106",999999999,2014-01-10,1,10,2014,5,1,92.31,12,1
"52114",999999999,2014-01-10,1,10,2014,5,1,70.065,13,1
"56122",999999999,2014-01-10,1,10,2014,5,1,37.905,14,1
"60130",999999999,2014-01-10,1,10,2014,5,1,13.455,15,1
"64138",999999999,2014-01-10,1,10,2014,5,1,0,16,1
"68146",999999999,2014-01-10,1,10,2014,5,1,0,17,1
"72154",999999999,2014-01-10,1,10,2014,5,1,0,18,1
"76162",999999999,2014-01-10,1,10,2014,5,1,0,19,1
"80170",999999999,2014-01-10,1,10,2014,5,1,0,20,0
"84178",999999999,2014-01-10,1,10,2014,5,1,0,21,0
"88186",999999999,2014-01-10,1,10,2014,5,1,0,22,0
"92194",999999999,2014-01-10,1,10,2014,5,1,0,23,0
"11",999999999,2014-01-11,1,11,2014,6,0,0,0,0
"4019",999999999,2014-01-11,1,11,2014,6,0,0,1,0
"8027",999999999,2014-01-11,1,11,2014,6,0,0,2,0
"12035",999999999,2014-01-11,1,11,2014,6,0,0,3,0
"16043",999999999,2014-01-11,1,11,2014,6,0,0,4,0
"20051",999999999,2014-01-11,1,11,2014,6,0,0,5,0
"24059",999999999,2014-01-11,1,11,2014,6,0,0,6,0
"28067",999999999,2014-01-11,1,11,2014,6,0,0,7,1
"32075",999999999,2014-01-11,1,11,2014,6,0,0,8,1
"36083",999999999,2014-01-11,1,11,2014,6,0,0,9,1
"40091",999999999,2014-01-11,1,11,2014,6,0,0,10,1
"44099",999999999,2014-01-11,1,11,2014,6,0,0,11,1
"48107",999999999,2014-01-11,1,11,2014,6,0,0,12,1
"52115",999999999,2014-01-11,1,11,2014,6,0,0,13,1
"56123",999999999,2014-01-11,1,11,2014,6,0,0,14,1
"60131",999999999,2014-01-11,1,11,2014,6,0,0,15,1
"64139",999999999,2014-01-11,1,11,2014,6,0,0,16,1
"68147",999999999,2014-01-11,1,11,2014,6,0,0,17,1
"72155",999999999,2014-01-11,1,11,2014,6,0,0,18,1
"76163",999999999,2014-01-11,1,11,2014,6,0,0,19,1
"80171",999999999,2014-01-11,1,11,2014,6,0,0,20,0
"84179",999999999,2014-01-11,1,11,2014,6,0,0,21,0
"88187",999999999,2014-01-11,1,11,2014,6,0,0,22,0
"92195",999999999,2014-01-11,1,11,2014,6,0,0,23,0
"12",999999999,2014-01-12,1,12,2014,0,0,0,0,0
"4020",999999999,2014-01-12,1,12,2014,0,0,0,1,0
"8028",999999999,2014-01-12,1,12,2014,0,0,0,2,0
"12036",999999999,2014-01-12,1,12,2014,0,0,0,3,0
"16044",999999999,2014-01-12,1,12,2014,0,0,0,4,0
"20052",999999999,2014-01-12,1,12,2014,0,0,0,5,0
"24060",999999999,2014-01-12,1,12,2014,0,0,0,6,0
"28068",999999999,2014-01-12,1,12,2014,0,0,0,7,1
"32076",999999999,2014-01-12,1,12,2014,0,0,0,8,1
"36084",999999999,2014-01-12,1,12,2014,0,0,0,9,1
"40092",999999999,2014-01-12,1,12,2014,0,0,0,10,1
"44100",999999999,2014-01-12,1,12,2014,0,0,0,11,1
"48108",999999999,2014-01-12,1,12,2014,0,0,0,12,1
"52116",999999999,2014-01-12,1,12,2014,0,0,0,13,1
"56124",999999999,2014-01-12,1,12,2014,0,0,0,14,1
"60132",999999999,2014-01-12,1,12,2014,0,0,0,15,1
"64140",999999999,2014-01-12,1,12,2014,0,0,0,16,1
"68148",999999999,2014-01-12,1,12,2014,0,0,0,17,1
"72156",999999999,2014-01-12,1,12,2014,0,0,0,18,1
"76164",999999999,2014-01-12,1,12,2014,0,0,0,19,1
"80172",999999999,2014-01-12,1,12,2014,0,0,0,20,0
"84180",999999999,2014-01-12,1,12,2014,0,0,0,21,0
"88188",999999999,2014-01-12,1,12,2014,0,0,0,22,0
"92196",999999999,2014-01-12,1,12,2014,0,0,0,23,0
"13",999999999,2014-01-13,1,13,2014,1,1,0,0,0
"4021",999999999,2014-01-13,1,13,2014,1,1,0,1,0
"8029",999999999,2014-01-13,1,13,2014,1,1,0,2,0
"12037",999999999,2014-01-13,1,13,2014,1,1,0,3,0
"16045",999999999,2014-01-13,1,13,2014,1,1,0,4,0
"20053",999999999,2014-01-13,1,13,2014,1,1,0,5,0
"24061",999999999,2014-01-13,1,13,2014,1,1,22.905,6,0
"28069",999999999,2014-01-13,1,13,2014,1,1,104.789997,7,1
"32077",999999999,2014-01-13,1,13,2014,1,1,135.419997,8,1
"36085",999999999,2014-01-13,1,13,2014,1,1,128.789997,9,1
"40093",999999999,2014-01-13,1,13,2014,1,1,128.474997,10,1
"44101",999999999,2014-01-13,1,13,2014,1,1,102.284999,11,1
"48109",999999999,2014-01-13,1,13,2014,1,1,95.234999,12,1
"52117",999999999,2014-01-13,1,13,2014,1,1,85.89,13,1
"56125",999999999,2014-01-13,1,13,2014,1,1,73.815,14,1
"60133",999999999,2014-01-13,1,13,2014,1,1,31.14,15,1
"64141",999999999,2014-01-13,1,13,2014,1,1,0.045,16,1
"68149",999999999,2014-01-13,1,13,2014,1,1,0,17,1
"72157",999999999,2014-01-13,1,13,2014,1,1,0,18,1
"76165",999999999,2014-01-13,1,13,2014,1,1,0,19,1
"80173",999999999,2014-01-13,1,13,2014,1,1,0,20,0
"84181",999999999,2014-01-13,1,13,2014,1,1,0,21,0
"88189",999999999,2014-01-13,1,13,2014,1,1,0,22,0
"92197",999999999,2014-01-13,1,13,2014,1,1,0,23,0
"14",999999999,2014-01-14,1,14,2014,2,1,0,0,0
"4022",999999999,2014-01-14,1,14,2014,2,1,0,1,0
"8030",999999999,2014-01-14,1,14,2014,2,1,0,2,0
"12038",999999999,2014-01-14,1,14,2014,2,1,0,3,0
"16046",999999999,2014-01-14,1,14,2014,2,1,0,4,0
"20054",999999999,2014-01-14,1,14,2014,2,1,0,5,0
"24062",999999999,2014-01-14,1,14,2014,2,1,0,6,0
"28070",999999999,2014-01-14,1,14,2014,2,1,81.629998,7,1
"32078",999999999,2014-01-14,1,14,2014,2,1,101.039993,8,1
"36086",999999999,2014-01-14,1,14,2014,2,1,92.205,9,1
"40094",999999999,2014-01-14,1,14,2014,2,1,91.979999,10,1
"44102",999999999,2014-01-14,1,14,2014,2,1,81.765,11,1
"48110",999999999,2014-01-14,1,14,2014,2,1,63.36,12,1
"52118",999999999,2014-01-14,1,14,2014,2,1,63.27,13,1
"56126",999999999,2014-01-14,1,14,2014,2,1,53.355,14,1
"60134",999999999,2014-01-14,1,14,2014,2,1,23.655,15,1
"64142",999999999,2014-01-14,1,14,2014,2,1,0.24,16,1
"68150",999999999,2014-01-14,1,14,2014,2,1,0,17,1
"72158",999999999,2014-01-14,1,14,2014,2,1,0,18,1
"76166",999999999,2014-01-14,1,14,2014,2,1,0,19,1
"80174",999999999,2014-01-14,1,14,2014,2,1,0,20,0
"84182",999999999,2014-01-14,1,14,2014,2,1,0,21,0
"88190",999999999,2014-01-14,1,14,2014,2,1,0,22,0
"92198",999999999,2014-01-14,1,14,2014,2,1,0,23,0
"15",999999999,2014-01-15,1,15,2014,3,1,0,0,0
"4023",999999999,2014-01-15,1,15,2014,3,1,0,1,0
"8031",999999999,2014-01-15,1,15,2014,3,1,0,2,0
"12039",999999999,2014-01-15,1,15,2014,3,1,0,3,0
"16047",999999999,2014-01-15,1,15,2014,3,1,0,4,0
"20055",999999999,2014-01-15,1,15,2014,3,1,0,5,0
"24063",999999999,2014-01-15,1,15,2014,3,1,6.975,6,0
"28071",999999999,2014-01-15,1,15,2014,3,1,59.565,7,1
"32079",999999999,2014-01-15,1,15,2014,3,1,89.114999,8,1
"36087",999999999,2014-01-15,1,15,2014,3,1,95.624999,9,1
"40095",999999999,2014-01-15,1,15,2014,3,1,109.274998,10,1
"44103",999999999,2014-01-15,1,15,2014,3,1,79.74,11,1
"48111",999999999,2014-01-15,1,15,2014,3,1,68.895,12,1
"52119",999999999,2014-01-15,1,15,2014,3,1,59.325,13,1
"56127",999999999,2014-01-15,1,15,2014,3,1,49.245,14,1
"60135",999999999,2014-01-15,1,15,2014,3,1,18.33,15,1
"64143",999999999,2014-01-15,1,15,2014,3,1,0,16,1
"68151",999999999,2014-01-15,1,15,2014,3,1,0,17,1
"72159",999999999,2014-01-15,1,15,2014,3,1,0,18,1
"76167",999999999,2014-01-15,1,15,2014,3,1,0,19,1
"80175",999999999,2014-01-15,1,15,2014,3,1,0,20,0
"84183",999999999,2014-01-15,1,15,2014,3,1,0,21,0
"88191",999999999,2014-01-15,1,15,2014,3,1,0,22,0
"92199",999999999,2014-01-15,1,15,2014,3,1,0,23,0
"16",999999999,2014-01-16,1,16,2014,4,1,0,0,0
"4024",999999999,2014-01-16,1,16,2014,4,1,0,1,0
"8032",999999999,2014-01-16,1,16,2014,4,1,0,2,0
