"","Hour","Temp","Date","month","day","year","Day of Week","Weekday","Peakhour"
"1",0,51.98,2014-12-01,12,1,2014,1,1,0
"2",1,51.98,2014-12-01,12,1,2014,1,1,0
"3",2,51.08,2014-12-01,12,1,2014,1,1,0
"4",3,51.08,2014-12-01,12,1,2014,1,1,0
"5",4,51.08,2014-12-01,12,1,2014,1,1,0
"6",5,51.08,2014-12-01,12,1,2014,1,1,0
"7",6,50,2014-12-01,12,1,2014,1,1,0
"8",7,53.06,2014-12-01,12,1,2014,1,1,1
"9",8,55.94,2014-12-01,12,1,2014,1,1,1
"10",9,60.08,2014-12-01,12,1,2014,1,1,1
"11",10,60.08,2014-12-01,12,1,2014,1,1,1
"12",11,62.06,2014-12-01,12,1,2014,1,1,1
"13",12,62.96,2014-12-01,12,1,2014,1,1,1
"14",13,60.98,2014-12-01,12,1,2014,1,1,1
"15",14,57.92,2014-12-01,12,1,2014,1,1,1
"16",15,55.04,2014-12-01,12,1,2014,1,1,1
"17",16,53.06,2014-12-01,12,1,2014,1,1,1
"18",17,51.08,2014-12-01,12,1,2014,1,1,1
"19",18,48.92,2014-12-01,12,1,2014,1,1,1
"20",19,48.02,2014-12-01,12,1,2014,1,1,1
"21",20,46.94,2014-12-01,12,1,2014,1,1,0
"22",21,42.98,2014-12-01,12,1,2014,1,1,0
"23",22,41,2014-12-01,12,1,2014,1,1,0
"24",23,39.02,2014-12-01,12,1,2014,1,1,0
"25",0,37.94,2014-12-02,12,2,2014,2,1,0
"26",1,37.04,2014-12-02,12,2,2014,2,1,0
"27",2,35.96,2014-12-02,12,2,2014,2,1,0
"28",3,35.06,2014-12-02,12,2,2014,2,1,0
"29",4,35.06,2014-12-02,12,2,2014,2,1,0
"30",5,33.98,2014-12-02,12,2,2014,2,1,0
"31",6,33.98,2014-12-02,12,2,2014,2,1,0
"32",7,33.08,2014-12-02,12,2,2014,2,1,1
"33",8,33.08,2014-12-02,12,2,2014,2,1,1
"34",9,33.98,2014-12-02,12,2,2014,2,1,1
"35",10,35.06,2014-12-02,12,2,2014,2,1,1
"36",11,37.04,2014-12-02,12,2,2014,2,1,1
"37",12,37.04,2014-12-02,12,2,2014,2,1,1
"38",13,37.04,2014-12-02,12,2,2014,2,1,1
"39",14,37.04,2014-12-02,12,2,2014,2,1,1
"40",15,37.22,2014-12-02,12,2,2014,2,1,1
"41",16,35.96,2014-12-02,12,2,2014,2,1,1
"42",17,35.96,2014-12-02,12,2,2014,2,1,1
"43",18,36.68,2014-12-02,12,2,2014,2,1,1
"44",19,37.04,2014-12-02,12,2,2014,2,1,1
"45",20,37.67,2014-12-02,12,2,2014,2,1,0
"46",21,39.02,2014-12-02,12,2,2014,2,1,0
"47",22,39.32,2014-12-02,12,2,2014,2,1,0
"48",23,41,2014-12-02,12,2,2014,2,1,0
"49",0,42.89,2014-12-03,12,3,2014,3,1,0
"50",1,43.82,2014-12-03,12,3,2014,3,1,0
"51",2,44.96,2014-12-03,12,3,2014,3,1,0
"52",3,44.78,2014-12-03,12,3,2014,3,1,0
"53",4,45.14,2014-12-03,12,3,2014,3,1,0
"54",5,45.23,2014-12-03,12,3,2014,3,1,0
"55",6,37.58,2014-12-03,12,3,2014,3,1,0
"56",7,37.22,2014-12-03,12,3,2014,3,1,1
"57",8,37.94,2014-12-03,12,3,2014,3,1,1
"58",9,39.02,2014-12-03,12,3,2014,3,1,1
"59",10,40.1,2014-12-03,12,3,2014,3,1,1
"60",11,44.06,2014-12-03,12,3,2014,3,1,1
"61",12,46.31,2014-12-03,12,3,2014,3,1,1
"62",13,50,2014-12-03,12,3,2014,3,1,1
"63",14,51.08,2014-12-03,12,3,2014,3,1,1
"64",15,51.44,2014-12-03,12,3,2014,3,1,1
"65",16,50,2014-12-03,12,3,2014,3,1,1
"66",17,50,2014-12-03,12,3,2014,3,1,1
"67",18,50,2014-12-03,12,3,2014,3,1,1
"68",19,49.46,2014-12-03,12,3,2014,3,1,1
"69",20,48.02,2014-12-03,12,3,2014,3,1,0
"70",21,42.98,2014-12-03,12,3,2014,3,1,0
"71",22,42.08,2014-12-03,12,3,2014,3,1,0
"72",23,39.92,2014-12-03,12,3,2014,3,1,0
"73",0,39.02,2014-12-04,12,4,2014,4,1,0
"74",1,37.94,2014-12-04,12,4,2014,4,1,0
"75",2,37.94,2014-12-04,12,4,2014,4,1,0
"76",3,37.04,2014-12-04,12,4,2014,4,1,0
"77",4,37.04,2014-12-04,12,4,2014,4,1,0
"78",5,33.98,2014-12-04,12,4,2014,4,1,0
"79",6,33.98,2014-12-04,12,4,2014,4,1,0
"80",7,35.06,2014-12-04,12,4,2014,4,1,1
"81",8,37.94,2014-12-04,12,4,2014,4,1,1
"82",9,39.92,2014-12-04,12,4,2014,4,1,1
"83",10,41,2014-12-04,12,4,2014,4,1,1
"84",11,42.08,2014-12-04,12,4,2014,4,1,1
"85",12,42.98,2014-12-04,12,4,2014,4,1,1
"86",13,42.98,2014-12-04,12,4,2014,4,1,1
"87",14,42.08,2014-12-04,12,4,2014,4,1,1
"88",15,39.92,2014-12-04,12,4,2014,4,1,1
"89",16,37.04,2014-12-04,12,4,2014,4,1,1
"90",17,35.96,2014-12-04,12,4,2014,4,1,1
"91",18,33.98,2014-12-04,12,4,2014,4,1,1
"92",19,33.08,2014-12-04,12,4,2014,4,1,1
"93",20,32,2014-12-04,12,4,2014,4,1,0
