"","Day","Hour","Temp","kWh"
"1","12/1/2014",0,51.98,386.02002509976
"2","12/1/2014",1,51.98,393.945701211882
"3","12/1/2014",2,51.08,396.697139533161
"4","12/1/2014",3,51.08,397.242382275153
"5","12/1/2014",4,51.08,397.414761951964
"6","12/1/2014",5,51.08,397.469347297754
"7","12/1/2014",6,50,397.489264135802
"8","12/1/2014",7,53.06,397.493383391122
"9","12/1/2014",8,55.94,397.493487672681
"10","12/1/2014",9,60.08,397.492930427602
"11","12/1/2014",10,60.08,397.494118830245
"12","12/1/2014",11,62.06,397.494306860259
"13","12/1/2014",12,62.96,397.494507496483
"14","12/1/2014",13,60.98,397.494578359978
"15","12/1/2014",14,57.92,397.493476042875
"16","12/1/2014",15,55.04,397.477435999514
"17","12/1/2014",16,53.06,397.346981773749
"18","12/1/2014",17,51.08,396.225511925869
"19","12/1/2014",18,48.92,385.047168376016
"20","12/1/2014",19,48.02,334.811745935827
"21","12/1/2014",20,46.94,113.084545263109
"22","12/1/2014",21,42.98,25.2782314367978
"23","12/1/2014",22,41,23.6846540205975
"24","12/1/2014",23,39.02,23.5070726031876
"25","12/2/2014",0,37.94,397.488539660935
"26","12/2/2014",1,37.04,397.493054807623
"27","12/2/2014",2,35.96,397.493145543639
"28","12/2/2014",3,35.06,397.488910058776
"29","12/2/2014",4,35.06,397.479034892331
"30","12/2/2014",5,33.98,397.414967550531
"31","12/2/2014",6,33.98,397.276193893144
"32","12/2/2014",7,33.08,396.651063756712
"33","12/2/2014",8,33.08,395.172567211354
"34","12/2/2014",9,33.98,393.68715633478
"35","12/2/2014",10,35.06,391.860863924374
"36","12/2/2014",11,37.04,392.565643084521
"37","12/2/2014",12,37.04,383.652805073306
"38","12/2/2014",13,37.04,357.409089314974
"39","12/2/2014",14,37.04,280.587892086567
"40","12/2/2014",15,37.22,152.362304133232
"41","12/2/2014",16,35.96,37.6442554994448
"42","12/2/2014",17,35.96,27.9383677950991
"43","12/2/2014",18,36.68,25.8439040053344
"44","12/2/2014",19,37.04,24.5124505864537
"45","12/2/2014",20,37.67,23.9289757494178
"46","12/2/2014",21,39.02,23.8362533435153
"47","12/2/2014",22,39.32,23.6357942273467
"48","12/2/2014",23,41,23.6305381809554
"49","12/3/2014",0,42.89,397.490776460218
"50","12/3/2014",1,43.82,397.492929136956
"51","12/3/2014",2,44.96,397.493829167644
"52","12/3/2014",3,44.78,397.494417078018
"53","12/3/2014",4,45.14,397.494563890186
"54","12/3/2014",5,45.23,397.494586881319
"55","12/3/2014",6,37.58,397.480839737478
"56","12/3/2014",7,37.22,397.455593983525
"57","12/3/2014",8,37.94,397.423912262949
"58","12/3/2014",9,39.02,397.390524850904
"59","12/3/2014",10,40.1,397.341377468256
"60","12/3/2014",11,44.06,397.451687451346
"61","12/3/2014",12,46.31,397.462413353547
"62","12/3/2014",13,50,397.484108528912
"63","12/3/2014",14,51.08,397.479122846208
"64","12/3/2014",15,51.44,397.460027056845
"65","12/3/2014",16,50,397.277076823188
"66","12/3/2014",17,50,396.897749313122
"67","12/3/2014",18,50,395.853772200971
"68","12/3/2014",19,49.46,391.274988328958
"69","12/3/2014",20,48.02,346.3539690939
"70","12/3/2014",21,42.98,31.4307567488399
"71","12/3/2014",22,42.08,25.0171379870262
"72","12/3/2014",23,39.92,23.6438688441656
"73","12/4/2014",0,39.02,397.49457852875
"74","12/4/2014",1,37.94,397.494622661327
"75","12/4/2014",2,37.94,397.494572475111
"76","12/4/2014",3,37.04,397.494215603596
"77","12/4/2014",4,37.04,397.493412954925
"78","12/4/2014",5,33.98,397.474503463271
"79","12/4/2014",6,33.98,397.439395247251
"80","12/4/2014",7,35.06,397.426507544734
"81","12/4/2014",8,37.94,397.459077915468
"82","12/4/2014",9,39.92,397.463468806668
"83","12/4/2014",10,41,397.448746484832
"84","12/4/2014",11,42.08,397.427077796769
"85","12/4/2014",12,42.98,397.384319134623
"86","12/4/2014",13,42.98,397.192107940065
"87","12/4/2014",14,42.08,396.098271898805
"88","12/4/2014",15,39.92,383.758586690694
"89","12/4/2014",16,37.04,190.86346132458
"90","12/4/2014",17,35.96,45.8373687014995
"91","12/4/2014",18,33.98,25.4380459330503
"92","12/4/2014",19,33.08,23.8937436568295
"93","12/4/2014",20,32,23.5525579762224
"94","12/4/2014",21,30.92,23.5088074538394
"95","12/4/2014",22,30.02,23.5340080132485
"96","12/4/2014",23,30.02,23.6223234079072
"97","12/5/2014",0,28.94,397.493484154578
"98","12/5/2014",1,28.04,397.489181611692
"99","12/5/2014",2,28.04,397.479615890493
"100","12/5/2014",3,26.96,397.417824130975
"101","12/5/2014",4,26.96,397.284015044804
"102","12/5/2014",5,26.96,396.916807538352
"103","12/5/2014",6,26.06,394.819518749519
"104","12/5/2014",7,26.96,393.824852418312
"105","12/5/2014",8,30.02,395.776874084126
"106","12/5/2014",9,32,395.989648137514
"107","12/5/2014",10,35.96,397.07392177963
"108","12/5/2014",11,37.94,397.125869163885
"109","12/5/2014",12,42.08,397.401568204275
"110","12/5/2014",13,42.08,397.239261092544
"111","12/5/2014",14,41,396.187006163621
"112","12/5/2014",15,39.92,390.713175649474
"113","12/5/2014",16,39.92,378.301065394721
"114","12/5/2014",17,39.92,341.316756336093
"115","12/5/2014",18,41,312.514953432035
"116","12/5/2014",19,41,182.149455064485
"117","12/5/2014",20,41,60.5399158910081
"118","12/5/2014",21,41,33.9185193393757
"119","12/5/2014",22,39.92,25.2475069376117
"120","12/5/2014",23,39.56,24.0140405587444
"121","12/6/2014",0,39.74,397.496021600095
"122","12/6/2014",1,40.1,397.496106481153
"123","12/6/2014",2,42.08,397.497115748237
"124","12/6/2014",3,42.86,397.49760782632
"125","12/6/2014",4,44.42,397.499099079106
"126","12/6/2014",5,44.78,397.499374468047
"127","12/6/2014",6,44.78,397.499132922075
"128","12/6/2014",7,44.72,397.503163047602
"129","12/6/2014",8,41,397.492566955184
"130","12/6/2014",9,39.14,397.45657123926
"131","12/6/2014",10,37.94,397.278582728352
"132","12/6/2014",11,39.02,397.176385517455
"133","12/6/2014",12,39.02,396.618490232833
"134","12/6/2014",13,39.56,395.729137595384
"135","12/6/2014",14,39.92,393.534172511573
"136","12/6/2014",15,41,391.633056924168
"137","12/6/2014",16,41,380.963165082135
"138","12/6/2014",17,41,349.325967832294
"139","12/6/2014",18,39.02,102.770078464454
"140","12/6/2014",19,39.02,44.5452574307931
"141","12/6/2014",20,39.02,28.6925943702502
"142","12/6/2014",21,39.02,25.263068116662
"143","12/6/2014",22,37.94,23.8327460256155
"144","12/6/2014",23,37.94,23.6419157509838
"145","12/7/2014",0,37.22,332.208765741066
"146","12/7/2014",1,35.78,105.704361910752
"147","12/7/2014",2,37.22,88.6452593960587
