"","Day","Hour","Temp","KWH"
"1","12/1/2014",0,51.98,"Optimal"
"2","12/1/2014",1,51.98,"Optimal"
"3","12/1/2014",2,51.08,"Optimal"
"4","12/1/2014",3,51.08,"Optimal"
"5","12/1/2014",4,51.08,"Optimal"
"6","12/1/2014",5,51.08,"Optimal"
"7","12/1/2014",6,50,"Optimal"
"8","12/1/2014",7,53.06,"Optimal"
"9","12/1/2014",8,55.94,"Optimal"
"10","12/1/2014",9,60.08,"Optimal"
"11","12/1/2014",10,60.08,"Optimal"
"12","12/1/2014",11,62.06,"Above_Normal"
"13","12/1/2014",12,62.96,"Above_Normal"
"14","12/1/2014",13,60.98,"Above_Normal"
"15","12/1/2014",14,57.92,"Above_Normal"
"16","12/1/2014",15,55.04,"Above_Normal"
"17","12/1/2014",16,53.06,"Above_Normal"
"18","12/1/2014",17,51.08,"Above_Normal"
"19","12/1/2014",18,48.92,"Above_Normal"
"20","12/1/2014",19,48.02,"Above_Normal"
"21","12/1/2014",20,46.94,"Above_Normal"
"22","12/1/2014",21,42.98,"Above_Normal"
"23","12/1/2014",22,41,"Above_Normal"
"24","12/1/2014",23,39.02,"Above_Normal"
"25","12/2/2014",0,37.94,"Optimal"
"26","12/2/2014",1,37.04,"Optimal"
"27","12/2/2014",2,35.96,"Optimal"
"28","12/2/2014",3,35.06,"Optimal"
"29","12/2/2014",4,35.06,"Optimal"
"30","12/2/2014",5,33.98,"Optimal"
"31","12/2/2014",6,33.98,"Optimal"
"32","12/2/2014",7,33.08,"Optimal"
"33","12/2/2014",8,33.08,"Optimal"
"34","12/2/2014",9,33.98,"Optimal"
"35","12/2/2014",10,35.06,"Above_Normal"
"36","12/2/2014",11,37.04,"Above_Normal"
"37","12/2/2014",12,37.04,"Above_Normal"
"38","12/2/2014",13,37.04,"Above_Normal"
"39","12/2/2014",14,37.04,"Above_Normal"
"40","12/2/2014",15,37.22,"Above_Normal"
"41","12/2/2014",16,35.96,"Above_Normal"
"42","12/2/2014",17,35.96,"Above_Normal"
"43","12/2/2014",18,36.68,"Above_Normal"
"44","12/2/2014",19,37.04,"Above_Normal"
"45","12/2/2014",20,37.67,"Above_Normal"
"46","12/2/2014",21,39.02,"Above_Normal"
