"","Hour","Temp","Date","month","day","year","Day of Week","Weekday","Peakhour"
"1",18,70,2016-06-13,6,13,2016,1,1,1
"2",19,70,2016-06-13,6,13,2016,1,1,1
"3",20,69,2016-06-13,6,13,2016,1,1,0
"4",21,67,2016-06-13,6,13,2016,1,1,0
"5",22,65,2016-06-13,6,13,2016,1,1,0
"6",23,63,2016-06-13,6,13,2016,1,1,0
"7",0,61,2016-06-14,6,14,2016,2,1,0
"8",1,60,2016-06-14,6,14,2016,2,1,0
"9",2,59,2016-06-14,6,14,2016,2,1,0
"10",3,58,2016-06-14,6,14,2016,2,1,0
"11",4,57,2016-06-14,6,14,2016,2,1,0
"12",5,56,2016-06-14,6,14,2016,2,1,0
"13",6,56,2016-06-14,6,14,2016,2,1,0
"14",7,58,2016-06-14,6,14,2016,2,1,1
"15",8,61,2016-06-14,6,14,2016,2,1,1
"16",9,64,2016-06-14,6,14,2016,2,1,1
"17",10,67,2016-06-14,6,14,2016,2,1,1
"18",11,69,2016-06-14,6,14,2016,2,1,1
"19",12,71,2016-06-14,6,14,2016,2,1,1
"20",13,73,2016-06-14,6,14,2016,2,1,1
"21",14,75,2016-06-14,6,14,2016,2,1,1
"22",15,75,2016-06-14,6,14,2016,2,1,1
"23",16,75,2016-06-14,6,14,2016,2,1,1
"24",17,75,2016-06-14,6,14,2016,2,1,1
"25",18,74,2016-06-14,6,14,2016,2,1,1
"26",19,73,2016-06-14,6,14,2016,2,1,1
"27",20,71,2016-06-14,6,14,2016,2,1,0
"28",21,68,2016-06-14,6,14,2016,2,1,0
"29",22,66,2016-06-14,6,14,2016,2,1,0
"30",23,65,2016-06-14,6,14,2016,2,1,0
"31",0,64,2016-06-15,6,15,2016,3,1,0
"32",1,63,2016-06-15,6,15,2016,3,1,0
"33",2,62,2016-06-15,6,15,2016,3,1,0
"34",3,61,2016-06-15,6,15,2016,3,1,0
"35",4,61,2016-06-15,6,15,2016,3,1,0
"36",5,60,2016-06-15,6,15,2016,3,1,0
"37",6,61,2016-06-15,6,15,2016,3,1,0
"38",7,65,2016-06-15,6,15,2016,3,1,1
"39",8,68,2016-06-15,6,15,2016,3,1,1
"40",9,71,2016-06-15,6,15,2016,3,1,1
"41",10,74,2016-06-15,6,15,2016,3,1,1
"42",11,76,2016-06-15,6,15,2016,3,1,1
"43",12,77,2016-06-15,6,15,2016,3,1,1
"44",13,78,2016-06-15,6,15,2016,3,1,1
"45",14,78,2016-06-15,6,15,2016,3,1,1
"46",15,79,2016-06-15,6,15,2016,3,1,1
"47",16,79,2016-06-15,6,15,2016,3,1,1
"48",17,78,2016-06-15,6,15,2016,3,1,1
"49",18,77,2016-06-15,6,15,2016,3,1,1
"50",19,75,2016-06-15,6,15,2016,3,1,1
"51",20,74,2016-06-15,6,15,2016,3,1,0
"52",21,72,2016-06-15,6,15,2016,3,1,0
"53",22,70,2016-06-15,6,15,2016,3,1,0
"54",23,69,2016-06-15,6,15,2016,3,1,0
"55",0,68,2016-06-16,6,16,2016,4,1,0
"56",1,67,2016-06-16,6,16,2016,4,1,0
"57",2,65,2016-06-16,6,16,2016,4,1,0
"58",3,63,2016-06-16,6,16,2016,4,1,0
"59",4,62,2016-06-16,6,16,2016,4,1,0
"60",5,61,2016-06-16,6,16,2016,4,1,0
"61",6,61,2016-06-16,6,16,2016,4,1,0
"62",7,64,2016-06-16,6,16,2016,4,1,1
"63",8,68,2016-06-16,6,16,2016,4,1,1
"64",9,71,2016-06-16,6,16,2016,4,1,1
"65",10,74,2016-06-16,6,16,2016,4,1,1
"66",11,76,2016-06-16,6,16,2016,4,1,1
"67",12,76,2016-06-16,6,16,2016,4,1,1
"68",13,77,2016-06-16,6,16,2016,4,1,1
"69",14,77,2016-06-16,6,16,2016,4,1,1
"70",15,77,2016-06-16,6,16,2016,4,1,1
"71",16,76,2016-06-16,6,16,2016,4,1,1
"72",17,75,2016-06-16,6,16,2016,4,1,1
"73",18,74,2016-06-16,6,16,2016,4,1,1
"74",19,72,2016-06-16,6,16,2016,4,1,1
"75",20,71,2016-06-16,6,16,2016,4,1,0
"76",21,68,2016-06-16,6,16,2016,4,1,0
"77",22,66,2016-06-16,6,16,2016,4,1,0
"78",23,65,2016-06-16,6,16,2016,4,1,0
"79",0,63,2016-06-17,6,17,2016,5,1,0
"80",1,63,2016-06-17,6,17,2016,5,1,0
"81",2,62,2016-06-17,6,17,2016,5,1,0
"82",3,61,2016-06-17,6,17,2016,5,1,0
"83",4,60,2016-06-17,6,17,2016,5,1,0
"84",5,60,2016-06-17,6,17,2016,5,1,0
"85",6,60,2016-06-17,6,17,2016,5,1,0
"86",7,63,2016-06-17,6,17,2016,5,1,1
"87",8,65,2016-06-17,6,17,2016,5,1,1
"88",9,66,2016-06-17,6,17,2016,5,1,1
"89",10,67,2016-06-17,6,17,2016,5,1,1
"90",11,67,2016-06-17,6,17,2016,5,1,1
"91",12,67,2016-06-17,6,17,2016,5,1,1
"92",13,68,2016-06-17,6,17,2016,5,1,1
"93",14,67,2016-06-17,6,17,2016,5,1,1
"94",15,67,2016-06-17,6,17,2016,5,1,1
"95",16,67,2016-06-17,6,17,2016,5,1,1
"96",17,67,2016-06-17,6,17,2016,5,1,1
"97",18,66,2016-06-17,6,17,2016,5,1,1
"98",19,64,2016-06-17,6,17,2016,5,1,1
"99",20,63,2016-06-17,6,17,2016,5,1,0
"100",21,61,2016-06-17,6,17,2016,5,1,0
"101",22,59,2016-06-17,6,17,2016,5,1,0
"102",23,59,2016-06-17,6,17,2016,5,1,0
"103",0,58,2016-06-18,6,18,2016,6,0,0
"104",1,58,2016-06-18,6,18,2016,6,0,0
"105",2,58,2016-06-18,6,18,2016,6,0,0
"106",3,57,2016-06-18,6,18,2016,6,0,0
"107",4,57,2016-06-18,6,18,2016,6,0,0
"108",5,57,2016-06-18,6,18,2016,6,0,0
"109",6,58,2016-06-18,6,18,2016,6,0,0
"110",7,60,2016-06-18,6,18,2016,6,0,1
"111",8,63,2016-06-18,6,18,2016,6,0,1
"112",9,64,2016-06-18,6,18,2016,6,0,1
"113",10,66,2016-06-18,6,18,2016,6,0,1
"114",11,67,2016-06-18,6,18,2016,6,0,1
"115",12,67,2016-06-18,6,18,2016,6,0,1
"116",13,68,2016-06-18,6,18,2016,6,0,1
"117",14,68,2016-06-18,6,18,2016,6,0,1
"118",15,69,2016-06-18,6,18,2016,6,0,1
"119",16,69,2016-06-18,6,18,2016,6,0,1
"120",17,69,2016-06-18,6,18,2016,6,0,1
"121",18,67,2016-06-18,6,18,2016,6,0,1
"122",19,65,2016-06-18,6,18,2016,6,0,1
"123",20,63,2016-06-18,6,18,2016,6,0,0
"124",21,62,2016-06-18,6,18,2016,6,0,0
"125",22,61,2016-06-18,6,18,2016,6,0,0
"126",23,61,2016-06-18,6,18,2016,6,0,0
"127",0,60,2016-06-19,6,19,2016,0,0,0
"128",1,60,2016-06-19,6,19,2016,0,0,0
"129",2,59,2016-06-19,6,19,2016,0,0,0
"130",3,58,2016-06-19,6,19,2016,0,0,0
