"","Day","Hour","Temp","kWh"
"1","12/1/2014",0,51.98,18.2886585
"2","12/1/2014",1,51.98,18.2886585
"3","12/1/2014",2,51.08,18.2886585
"4","12/1/2014",3,51.08,18.2886585
"5","12/1/2014",4,51.08,18.2886585
"6","12/1/2014",5,51.08,18.2886585
"7","12/1/2014",6,50,18.2886585
"8","12/1/2014",7,53.06,51.7968040676692
"9","12/1/2014",8,55.94,51.7968040676692
"10","12/1/2014",9,60.08,51.7968040676692
"11","12/1/2014",10,60.08,51.7968040676692
"12","12/1/2014",11,62.06,51.7968040676692
"13","12/1/2014",12,62.96,51.7968040676692
"14","12/1/2014",13,60.98,51.7968040676692
"15","12/1/2014",14,57.92,51.7968040676692
"16","12/1/2014",15,55.04,51.7968040676692
"17","12/1/2014",16,53.06,51.7968040676692
"18","12/1/2014",17,51.08,51.7968040676692
"19","12/1/2014",18,48.92,51.7968040676692
"20","12/1/2014",19,48.02,51.7968040676692
"21","12/1/2014",20,46.94,18.2886585
"22","12/1/2014",21,42.98,18.2886585
"23","12/1/2014",22,41,18.2886585
"24","12/1/2014",23,39.02,18.2886585
"25","12/2/2014",0,37.94,18.2886585
"26","12/2/2014",1,37.04,18.2886585
"27","12/2/2014",2,35.96,18.2886585
"28","12/2/2014",3,35.06,18.2886585
"29","12/2/2014",4,35.06,18.2886585
"30","12/2/2014",5,33.98,18.2886585
"31","12/2/2014",6,33.98,18.2886585
"32","12/2/2014",7,33.08,51.7968040676692
"33","12/2/2014",8,33.08,51.7968040676692
"34","12/2/2014",9,33.98,51.7968040676692
"35","12/2/2014",10,35.06,51.7968040676692
"36","12/2/2014",11,37.04,51.7968040676692
"37","12/2/2014",12,37.04,51.7968040676692
"38","12/2/2014",13,37.04,51.7968040676692
"39","12/2/2014",14,37.04,51.7968040676692
"40","12/2/2014",15,37.22,51.7968040676692
"41","12/2/2014",16,35.96,51.7968040676692
"42","12/2/2014",17,35.96,51.7968040676692
"43","12/2/2014",18,36.68,51.7968040676692
"44","12/2/2014",19,37.04,51.7968040676692
"45","12/2/2014",20,37.67,18.2886585
"46","12/2/2014",21,39.02,18.2886585
"47","12/2/2014",22,39.32,18.2886585
"48","12/2/2014",23,41,18.2886585
"49","12/3/2014",0,42.89,18.2886585
"50","12/3/2014",1,43.82,18.2886585
"51","12/3/2014",2,44.96,18.2886585
"52","12/3/2014",3,44.78,18.2886585
"53","12/3/2014",4,45.14,18.2886585
"54","12/3/2014",5,45.23,18.2886585
"55","12/3/2014",6,37.58,18.2886585
"56","12/3/2014",7,37.22,51.7968040676692
"57","12/3/2014",8,37.94,51.7968040676692
"58","12/3/2014",9,39.02,51.7968040676692
"59","12/3/2014",10,40.1,51.7968040676692
"60","12/3/2014",11,44.06,51.7968040676692
"61","12/3/2014",12,46.31,51.7968040676692
"62","12/3/2014",13,50,51.7968040676692
"63","12/3/2014",14,51.08,51.7968040676692
"64","12/3/2014",15,51.44,51.7968040676692
"65","12/3/2014",16,50,51.7968040676692
"66","12/3/2014",17,50,51.7968040676692
"67","12/3/2014",18,50,51.7968040676692
"68","12/3/2014",19,49.46,51.7968040676692
"69","12/3/2014",20,48.02,18.2886585
"70","12/3/2014",21,42.98,18.2886585
"71","12/3/2014",22,42.08,18.2886585
"72","12/3/2014",23,39.92,18.2886585
"73","12/4/2014",0,39.02,18.2886585
"74","12/4/2014",1,37.94,18.2886585
"75","12/4/2014",2,37.94,18.2886585
"76","12/4/2014",3,37.04,18.2886585
"77","12/4/2014",4,37.04,18.2886585
"78","12/4/2014",5,33.98,18.2886585
"79","12/4/2014",6,33.98,18.2886585
"80","12/4/2014",7,35.06,51.7968040676692
"81","12/4/2014",8,37.94,51.7968040676692
"82","12/4/2014",9,39.92,51.7968040676692
"83","12/4/2014",10,41,51.7968040676692
"84","12/4/2014",11,42.08,51.7968040676692
"85","12/4/2014",12,42.98,51.7968040676692
"86","12/4/2014",13,42.98,51.7968040676692
"87","12/4/2014",14,42.08,51.7968040676692
"88","12/4/2014",15,39.92,51.7968040676692
"89","12/4/2014",16,37.04,51.7968040676692
"90","12/4/2014",17,35.96,51.7968040676692
"91","12/4/2014",18,33.98,51.7968040676692
"92","12/4/2014",19,33.08,51.7968040676692
"93","12/4/2014",20,32,18.2886585
"94","12/4/2014",21,30.92,18.2886585
"95","12/4/2014",22,30.02,18.2886585
"96","12/4/2014",23,30.02,18.2886585
"97","12/5/2014",0,28.94,18.2886585
"98","12/5/2014",1,28.04,18.2886585
"99","12/5/2014",2,28.04,18.2886585
"100","12/5/2014",3,26.96,18.2886585
"101","12/5/2014",4,26.96,18.2886585
"102","12/5/2014",5,26.96,18.2886585
"103","12/5/2014",6,26.06,18.2886585
"104","12/5/2014",7,26.96,51.7968040676692
"105","12/5/2014",8,30.02,51.7968040676692
"106","12/5/2014",9,32,51.7968040676692
"107","12/5/2014",10,35.96,51.7968040676692
"108","12/5/2014",11,37.94,51.7968040676692
"109","12/5/2014",12,42.08,51.7968040676692
"110","12/5/2014",13,42.08,51.7968040676692
"111","12/5/2014",14,41,51.7968040676692
"112","12/5/2014",15,39.92,51.7968040676692
"113","12/5/2014",16,39.92,51.7968040676692
"114","12/5/2014",17,39.92,51.7968040676692
"115","12/5/2014",18,41,51.7968040676692
"116","12/5/2014",19,41,51.7968040676692
"117","12/5/2014",20,41,18.2886585
"118","12/5/2014",21,41,18.2886585
"119","12/5/2014",22,39.92,18.2886585
"120","12/5/2014",23,39.56,18.2886585
"121","12/6/2014",0,39.74,18.2886585
"122","12/6/2014",1,40.1,18.2886585
"123","12/6/2014",2,42.08,18.2886585
"124","12/6/2014",3,42.86,18.2886585
"125","12/6/2014",4,44.42,18.2886585
"126","12/6/2014",5,44.78,18.2886585
"127","12/6/2014",6,44.78,18.2886585
"128","12/6/2014",7,44.72,71.1836411582089
"129","12/6/2014",8,41,71.1836411582089
"130","12/6/2014",9,39.14,71.1836411582089
"131","12/6/2014",10,37.94,71.1836411582089
"132","12/6/2014",11,39.02,71.1836411582089
"133","12/6/2014",12,39.02,71.1836411582089
"134","12/6/2014",13,39.56,71.1836411582089
"135","12/6/2014",14,39.92,71.1836411582089
"136","12/6/2014",15,41,71.1836411582089
"137","12/6/2014",16,41,71.1836411582089
"138","12/6/2014",17,41,71.1836411582089
"139","12/6/2014",18,39.02,71.1836411582089
"140","12/6/2014",19,39.02,71.1836411582089
"141","12/6/2014",20,39.02,18.2886585
"142","12/6/2014",21,39.02,18.2886585
"143","12/6/2014",22,37.94,18.2886585
"144","12/6/2014",23,37.94,18.2886585
"145","12/7/2014",0,37.22,18.2886585
"146","12/7/2014",1,35.78,18.2886585
"147","12/7/2014",2,37.22,18.2886585
"148","12/7/2014",3,37.22,18.2886585
"149","12/7/2014",4,35.96,18.2886585
"150","12/7/2014",5,35.06,18.2886585
"151","12/7/2014",6,33.89,18.2886585
"152","12/7/2014",7,33.98,71.1836411582089
"153","12/7/2014",8,33.98,71.1836411582089
"154","12/7/2014",9,33.98,71.1836411582089
"155","12/7/2014",10,33.98,71.1836411582089
"156","12/7/2014",11,33.98,71.1836411582089
"157","12/7/2014",12,33.98,71.1836411582089
"158","12/7/2014",13,35.96,71.1836411582089
"159","12/7/2014",14,37.04,71.1836411582089
"160","12/7/2014",15,35.96,71.1836411582089
"161","12/7/2014",16,32,71.1836411582089
"162","12/7/2014",17,30.02,71.1836411582089
"163","12/7/2014",18,28.04,71.1836411582089
"164","12/7/2014",19,26.06,71.1836411582089
"165","12/7/2014",20,24.08,18.2886585
"166","12/7/2014",21,23,18.2886585
