"","Date","Hour","Temp","KWH"
"1",20160613,18,70,"Above_Normal"
"2",20160613,19,70,"Above_Normal"
"3",20160613,20,69,"Above_Normal"
"4",20160613,21,67,"Above_Normal"
"5",20160613,22,65,"Above_Normal"
"6",20160613,23,63,"Above_Normal"
"7",20160614,0,61,"Optimal"
"8",20160614,1,60,"Optimal"
"9",20160614,2,59,"Optimal"
"10",20160614,3,58,"Optimal"
"11",20160614,4,57,"Optimal"
"12",20160614,5,56,"Optimal"
"13",20160614,6,56,"Above_Normal"
"14",20160614,7,58,"Above_Normal"
"15",20160614,8,61,"Above_Normal"
"16",20160614,9,64,"Above_Normal"
"17",20160614,10,67,"Above_Normal"
"18",20160614,11,69,"Above_Normal"
"19",20160614,12,71,"Above_Normal"
"20",20160614,13,73,"Above_Normal"
"21",20160614,14,75,"Above_Normal"
"22",20160614,15,75,"Above_Normal"
"23",20160614,16,75,"Above_Normal"
"24",20160614,17,75,"Above_Normal"
"25",20160614,18,74,"Above_Normal"
"26",20160614,19,73,"Above_Normal"
"27",20160614,20,71,"Above_Normal"
"28",20160614,21,68,"Above_Normal"
"29",20160614,22,66,"Above_Normal"
"30",20160614,23,65,"Above_Normal"
"31",20160615,0,64,"Optimal"
"32",20160615,1,63,"Optimal"
"33",20160615,2,62,"Optimal"
"34",20160615,3,61,"Optimal"
"35",20160615,4,61,"Optimal"
"36",20160615,5,60,"Optimal"
"37",20160615,6,61,"Above_Normal"
"38",20160615,7,65,"Optimal"
"39",20160615,8,68,"Above_Normal"
"40",20160615,9,71,"Above_Normal"
"41",20160615,10,74,"Above_Normal"
"42",20160615,11,76,"Above_Normal"
"43",20160615,12,77,"Above_Normal"
"44",20160615,13,78,"Above_Normal"
"45",20160615,14,78,"Above_Normal"
"46",20160615,15,79,"Above_Normal"
"47",20160615,16,79,"Above_Normal"
"48",20160615,17,78,"Above_Normal"
"49",20160615,18,77,"Above_Normal"
"50",20160615,19,75,"Above_Normal"
"51",20160615,20,74,"Above_Normal"
"52",20160615,21,72,"Above_Normal"
"53",20160615,22,70,"Above_Normal"
"54",20160615,23,69,"Above_Normal"
"55",20160616,0,68,"Optimal"
"56",20160616,1,67,"Optimal"
"57",20160616,2,65,"Optimal"
"58",20160616,3,63,"Optimal"
"59",20160616,4,62,"Optimal"
"60",20160616,5,61,"Optimal"
"61",20160616,6,61,"Above_Normal"
"62",20160616,7,64,"Optimal"
"63",20160616,8,68,"Above_Normal"
"64",20160616,9,71,"Above_Normal"
"65",20160616,10,74,"Above_Normal"
"66",20160616,11,76,"Above_Normal"
"67",20160616,12,76,"Above_Normal"
"68",20160616,13,77,"Above_Normal"
"69",20160616,14,77,"Above_Normal"
"70",20160616,15,77,"Above_Normal"
"71",20160616,16,76,"Above_Normal"
"72",20160616,17,75,"Above_Normal"
"73",20160616,18,74,"Above_Normal"
"74",20160616,19,72,"Above_Normal"
"75",20160616,20,71,"Above_Normal"
"76",20160616,21,68,"Above_Normal"
"77",20160616,22,66,"Above_Normal"
"78",20160616,23,65,"Above_Normal"
"79",20160617,0,63,"Optimal"
"80",20160617,1,63,"Optimal"
"81",20160617,2,62,"Optimal"
"82",20160617,3,61,"Optimal"
"83",20160617,4,60,"Optimal"
"84",20160617,5,60,"Optimal"
"85",20160617,6,60,"Above_Normal"
"86",20160617,7,63,"Optimal"
"87",20160617,8,65,"Above_Normal"
"88",20160617,9,66,"Above_Normal"
"89",20160617,10,67,"Above_Normal"
"90",20160617,11,67,"Above_Normal"
"91",20160617,12,67,"Above_Normal"
"92",20160617,13,68,"Above_Normal"
"93",20160617,14,67,"Above_Normal"
"94",20160617,15,67,"Above_Normal"
"95",20160617,16,67,"Above_Normal"
"96",20160617,17,67,"Above_Normal"
"97",20160617,18,66,"Above_Normal"
"98",20160617,19,64,"Above_Normal"
"99",20160617,20,63,"Above_Normal"
"100",20160617,21,61,"Above_Normal"
"101",20160617,22,59,"Above_Normal"
"102",20160617,23,59,"Above_Normal"
"103",20160618,0,58,"Optimal"
"104",20160618,1,58,"Optimal"
"105",20160618,2,58,"Optimal"
"106",20160618,3,57,"Optimal"
"107",20160618,4,57,"Optimal"
"108",20160618,5,57,"Above_Normal"
"109",20160618,6,58,"Above_Normal"
"110",20160618,7,60,"Above_Normal"
"111",20160618,8,63,"Above_Normal"
"112",20160618,9,64,"Above_Normal"
"113",20160618,10,66,"Above_Normal"
"114",20160618,11,67,"Above_Normal"
"115",20160618,12,67,"Above_Normal"
"116",20160618,13,68,"Above_Normal"
"117",20160618,14,68,"Above_Normal"
"118",20160618,15,69,"Above_Normal"
"119",20160618,16,69,"Above_Normal"
"120",20160618,17,69,"Above_Normal"
"121",20160618,18,67,"Above_Normal"
"122",20160618,19,65,"Above_Normal"
"123",20160618,20,63,"Above_Normal"
"124",20160618,21,62,"Above_Normal"
"125",20160618,22,61,"Above_Normal"
"126",20160618,23,61,"Above_Normal"
"127",20160619,0,60,"Optimal"
"128",20160619,1,60,"Optimal"
"129",20160619,2,59,"Optimal"
"130",20160619,3,58,"Optimal"
"131",20160619,4,57,"Optimal"
"132",20160619,5,56,"Above_Normal"
"133",20160619,6,57,"Above_Normal"
"134",20160619,7,60,"Above_Normal"
"135",20160619,8,63,"Above_Normal"
"136",20160619,9,66,"Above_Normal"
"137",20160619,10,68,"Above_Normal"
"138",20160619,11,70,"Above_Normal"
"139",20160619,12,71,"Above_Normal"
"140",20160619,13,70,"Above_Normal"
"141",20160619,14,69,"Above_Normal"
"142",20160619,15,69,"Above_Normal"
"143",20160619,16,68,"Above_Normal"
"144",20160619,17,68,"Above_Normal"
"145",20160619,18,66,"Above_Normal"
"146",20160619,19,65,"Above_Normal"
"147",20160619,20,62,"Above_Normal"
"148",20160619,21,62,"Above_Normal"
"149",20160619,22,62,"Above_Normal"
"150",20160619,23,62,"Above_Normal"
"151",20160620,0,62,"Optimal"
"152",20160620,1,62,"Optimal"
"153",20160620,2,62,"Optimal"
"154",20160620,3,61,"Optimal"
"155",20160620,4,61,"Optimal"
"156",20160620,5,61,"Optimal"
"157",20160620,6,61,"Above_Normal"
"158",20160620,7,63,"Optimal"
"159",20160620,8,67,"Above_Normal"
"160",20160620,9,70,"Above_Normal"
"161",20160620,10,73,"Above_Normal"
"162",20160620,11,74,"Above_Normal"
"163",20160620,12,76,"Above_Normal"
"164",20160620,13,76,"Above_Normal"
"165",20160620,14,77,"Above_Normal"
"166",20160620,15,77,"Above_Normal"
"167",20160620,16,76,"Above_Normal"
"168",20160620,17,75,"Above_Normal"
"169",20160620,18,75,"Above_Normal"
"170",20160620,19,74,"Above_Normal"
"171",20160620,20,73,"Above_Normal"
"172",20160620,21,71,"Above_Normal"
"173",20160620,22,71,"Above_Normal"
"174",20160620,23,70,"Above_Normal"
"175",20160621,0,69,"Optimal"
"176",20160621,1,68,"Optimal"
"177",20160621,2,68,"Optimal"
"178",20160621,3,66,"Optimal"
"179",20160621,4,66,"Optimal"
"180",20160621,5,66,"Optimal"
"181",20160621,6,67,"Above_Normal"
"182",20160621,7,69,"Optimal"
"183",20160621,8,72,"Above_Normal"
"184",20160621,9,74,"Above_Normal"
"185",20160621,10,77,"Above_Normal"
"186",20160621,11,80,"Above_Normal"
"187",20160621,12,82,"Above_Normal"
"188",20160621,13,83,"Above_Normal"
"189",20160621,14,83,"Above_Normal"
"190",20160621,15,83,"Above_Normal"
"191",20160621,16,81,"Above_Normal"
"192",20160621,17,80,"Above_Normal"
"193",20160621,18,79,"Above_Normal"
"194",20160621,19,78,"Above_Normal"
"195",20160621,20,76,"Above_Normal"
"196",20160621,21,75,"Above_Normal"
"197",20160621,22,73,"Above_Normal"
"198",20160621,23,71,"Above_Normal"
"199",20160622,0,71,"Optimal"
"200",20160622,1,69,"Optimal"
"201",20160622,2,68,"Optimal"
"202",20160622,3,67,"Optimal"
"203",20160622,4,67,"Optimal"
"204",20160622,5,67,"Optimal"
"205",20160622,6,67,"Above_Normal"
"206",20160622,7,69,"Optimal"
"207",20160622,8,72,"Above_Normal"
"208",20160622,9,74,"Above_Normal"
"209",20160622,10,76,"Above_Normal"
"210",20160622,11,78,"Above_Normal"
"211",20160622,12,79,"Above_Normal"
"212",20160622,13,80,"Above_Normal"
"213",20160622,14,81,"Above_Normal"
"214",20160622,15,80,"Above_Normal"
"215",20160622,16,79,"Above_Normal"
"216",20160622,17,78,"Above_Normal"
"217",20160622,18,76,"Above_Normal"
"218",20160622,19,75,"Above_Normal"
"219",20160622,20,74,"Above_Normal"
"220",20160622,21,72,"Above_Normal"
"221",20160622,22,70,"Above_Normal"
"222",20160622,23,69,"Above_Normal"
