"","X","Account","Date","month","day","year","Day.of.Week","Weekday","kWh","hour","Peakhour","Temp","KWH_Class"
"1",1,999999999,"2014-01-01",1,1,2014,3,1,78.405,0,0,23,"Optimal"
"2",2,999999999,"2014-01-01",1,1,2014,3,1,76.425,1,0,21.9,"Optimal"
"3",3,999999999,"2014-01-01",1,1,2014,3,1,78.015,2,0,21.9,"Optimal"
"4",4,999999999,"2014-01-01",1,1,2014,3,1,78.12,3,0,21.9,"Optimal"
"5",5,999999999,"2014-01-01",1,1,2014,3,1,77.535,4,0,21,"Optimal"
"6",6,999999999,"2014-01-01",1,1,2014,3,1,104.099999,5,0,21,"Above_Normal"
"7",7,999999999,"2014-01-01",1,1,2014,3,1,158.264998,6,0,21,"Above_Normal"
"8",8,999999999,"2014-01-01",1,1,2014,3,1,249.164995,7,1,19.9,"Above_Normal"
"9",9,999999999,"2014-01-01",1,1,2014,3,1,240.524994,8,1,23,"Above_Normal"
"10",10,999999999,"2014-01-01",1,1,2014,3,1,224.069994,9,1,24.1,"Above_Normal"
"11",11,999999999,"2014-01-01",1,1,2014,3,1,223.394993,10,1,26.1,"Above_Normal"
"12",12,999999999,"2014-01-01",1,1,2014,3,1,215.039996,11,1,26.1,"Above_Normal"
"13",13,999999999,"2014-01-01",1,1,2014,3,1,210.675,12,1,27,"Above_Normal"
"14",14,999999999,"2014-01-01",1,1,2014,3,1,196.049998,13,1,28,"Above_Normal"
"15",15,999999999,"2014-01-01",1,1,2014,3,1,196.559993,14,1,27,"Above_Normal"
"16",16,999999999,"2014-01-01",1,1,2014,3,1,151.829996,15,1,27,"Above_Normal"
"17",17,999999999,"2014-01-01",1,1,2014,3,1,103.739998,16,1,26.1,"Above_Normal"
"18",18,999999999,"2014-01-01",1,1,2014,3,1,99.584999,17,1,25,"Above_Normal"
"19",19,999999999,"2014-01-01",1,1,2014,3,1,97.589998,18,1,24.1,"Above_Normal"
"20",20,999999999,"2014-01-01",1,1,2014,3,1,91.47,19,1,24.1,"Above_Normal"
"21",21,999999999,"2014-01-01",1,1,2014,3,1,93.6,20,0,23,"Above_Normal"
"22",22,999999999,"2014-01-01",1,1,2014,3,1,79.35,21,0,21.9,"Optimal"
"23",23,999999999,"2014-01-01",1,1,2014,3,1,76.44,22,0,23,"Optimal"
"24",24,999999999,"2014-01-01",1,1,2014,3,1,78.975,23,0,23,"Optimal"
"25",25,999999999,"2014-01-02",1,2,2014,4,1,78.66,0,0,21,"Optimal"
"26",26,999999999,"2014-01-02",1,2,2014,4,1,77.385,1,0,20.1666666666667,"Optimal"
"27",27,999999999,"2014-01-02",1,2,2014,4,1,79.485,2,0,19.2,"Optimal"
"28",28,999999999,"2014-01-02",1,2,2014,4,1,83.685,3,0,19.2,"Above_Normal"
"29",29,999999999,"2014-01-02",1,2,2014,4,1,162.194999,4,0,19.2,"Above_Normal"
