Day,Hour,Temp
12/1/2014,0,51.98
12/1/2014,1,51.98
12/1/2014,2,51.08
12/1/2014,3,51.08
12/1/2014,4,51.08
12/1/2014,5,51.08
12/1/2014,6,50
12/1/2014,7,53.06
12/1/2014,8,55.94
12/1/2014,9,60.08
12/1/2014,10,60.08
12/1/2014,11,62.06
12/1/2014,12,62.96
12/1/2014,13,60.98
12/1/2014,14,57.92
12/1/2014,15,55.04
12/1/2014,16,53.06
12/1/2014,17,51.08
12/1/2014,18,48.92
12/1/2014,19,48.02
12/1/2014,20,46.94
12/1/2014,21,42.98
12/1/2014,22,41
12/1/2014,23,39.02
12/2/2014,0,37.94
12/2/2014,1,37.04
12/2/2014,2,35.96
12/2/2014,3,35.06
12/2/2014,4,35.06
12/2/2014,5,33.98
12/2/2014,6,33.98
12/2/2014,7,33.08
12/2/2014,8,33.08
12/2/2014,9,33.98
12/2/2014,10,35.06
12/2/2014,11,37.04
12/2/2014,12,37.04
12/2/2014,13,37.04
12/2/2014,14,37.04
12/2/2014,15,37.22
12/2/2014,16,35.96
12/2/2014,17,35.96
12/2/2014,18,36.68
12/2/2014,19,37.04
12/2/2014,20,37.67
12/2/2014,21,39.02
12/2/2014,22,39.32
12/2/2014,23,41
12/3/2014,0,42.89
12/3/2014,1,43.82
12/3/2014,2,44.96
12/3/2014,3,44.78
12/3/2014,4,45.14
12/3/2014,5,45.23
12/3/2014,6,37.58
12/3/2014,7,37.22
12/3/2014,8,37.94
12/3/2014,9,39.02
12/3/2014,10,40.1
12/3/2014,11,44.06
12/3/2014,12,46.31
12/3/2014,13,50
12/3/2014,14,51.08
12/3/2014,15,51.44
12/3/2014,16,50
12/3/2014,17,50
12/3/2014,18,50
12/3/2014,19,49.46
12/3/2014,20,48.02
12/3/2014,21,42.98
12/3/2014,22,42.08
12/3/2014,23,39.92
12/4/2014,0,39.02
12/4/2014,1,37.94
12/4/2014,2,37.94
12/4/2014,3,37.04
12/4/2014,4,37.04
12/4/2014,5,33.98
12/4/2014,6,33.98
12/4/2014,7,35.06
12/4/2014,8,37.94
12/4/2014,9,39.92
12/4/2014,10,41
12/4/2014,11,42.08
12/4/2014,12,42.98
12/4/2014,13,42.98
12/4/2014,14,42.08
12/4/2014,15,39.92
12/4/2014,16,37.04
12/4/2014,17,35.96
12/4/2014,18,33.98
12/4/2014,19,33.08
12/4/2014,20,32
12/4/2014,21,30.92
12/4/2014,22,30.02
12/4/2014,23,30.02
12/5/2014,0,28.94
12/5/2014,1,28.04
12/5/2014,2,28.04
12/5/2014,3,26.96
12/5/2014,4,26.96
12/5/2014,5,26.96
12/5/2014,6,26.06
12/5/2014,7,26.96
12/5/2014,8,30.02
12/5/2014,9,32
12/5/2014,10,35.96
12/5/2014,11,37.94
12/5/2014,12,42.08
12/5/2014,13,42.08
12/5/2014,14,41
12/5/2014,15,39.92
12/5/2014,16,39.92
12/5/2014,17,39.92
12/5/2014,18,41
12/5/2014,19,41
12/5/2014,20,41
12/5/2014,21,41
12/5/2014,22,39.92
12/5/2014,23,39.56
12/6/2014,0,39.74
12/6/2014,1,40.1
12/6/2014,2,42.08
12/6/2014,3,42.86
12/6/2014,4,44.42
12/6/2014,5,44.78
12/6/2014,6,44.78
12/6/2014,7,44.72
12/6/2014,8,41
12/6/2014,9,39.14
12/6/2014,10,37.94
12/6/2014,11,39.02
12/6/2014,12,39.02
12/6/2014,13,39.56
12/6/2014,14,39.92
12/6/2014,15,41
12/6/2014,16,41
12/6/2014,17,41
12/6/2014,18,39.02
12/6/2014,19,39.02
12/6/2014,20,39.02
12/6/2014,21,39.02
12/6/2014,22,37.94
12/6/2014,23,37.94
12/7/2014,0,37.22
12/7/2014,1,35.78
12/7/2014,2,37.22
12/7/2014,3,37.22
12/7/2014,4,35.96
12/7/2014,5,35.06
12/7/2014,6,33.89
12/7/2014,7,33.98
12/7/2014,8,33.98
12/7/2014,9,33.98
12/7/2014,10,33.98
12/7/2014,11,33.98
12/7/2014,12,33.98
12/7/2014,13,35.96
12/7/2014,14,37.04
12/7/2014,15,35.96
12/7/2014,16,32
12/7/2014,17,30.02
12/7/2014,18,28.04
12/7/2014,19,26.06
12/7/2014,20,24.08
12/7/2014,21,23
12/7/2014,22,21.92
12/7/2014,23,21.02
12/8/2014,0,19.67
12/8/2014,1,19.94
12/8/2014,2,19.04
12/8/2014,3,19.04
12/8/2014,4,19.04
12/8/2014,5,17.96
12/8/2014,6,19.04
12/8/2014,7,19.04
12/8/2014,8,19.94
12/8/2014,9,21.02
12/8/2014,10,21.02
12/8/2014,11,21.92
12/8/2014,12,23
12/8/2014,13,24.08
12/8/2014,14,24.08
12/8/2014,15,24.89
12/8/2014,16,24.98
12/8/2014,17,26.06
12/8/2014,18,26.06
12/8/2014,19,26.33
12/8/2014,20,25.79
12/8/2014,21,24.89
12/8/2014,22,25.43
12/8/2014,23,27.635
12/9/2014,0,30.32
12/9/2014,1,32.66
12/9/2014,2,39.2
12/9/2014,3,42.08
12/9/2014,4,37.04
12/9/2014,5,37.4
12/9/2014,6,42.89
12/9/2014,7,42.98
12/9/2014,8,44.06
12/9/2014,9,44.96
12/9/2014,10,44.78
12/9/2014,11,44.96
12/9/2014,12,46.28
12/9/2014,13,46.94
12/9/2014,14,46.94
12/9/2014,15,46.58
12/9/2014,16,48.02
12/9/2014,17,48.14
12/9/2014,18,48.44
12/9/2014,19,48.92
12/9/2014,20,48.56
12/9/2014,21,48.92
12/9/2014,22,48.92
12/9/2014,23,48.92
12/10/2014,0,46.04
12/10/2014,1,44.96
12/10/2014,2,42.98
12/10/2014,3,42.08
12/10/2014,4,42.08
12/10/2014,5,42.2
12/10/2014,6,41
12/10/2014,7,41.9
12/10/2014,8,41
12/10/2014,9,41
12/10/2014,10,41.36
12/10/2014,11,42.56
12/10/2014,12,42.44
12/10/2014,13,42.56
12/10/2014,14,41
12/10/2014,15,39.92
12/10/2014,16,39.92
12/10/2014,17,39.11
12/10/2014,18,39.11
12/10/2014,19,39.02
12/10/2014,20,39.14
12/10/2014,21,37.94
12/10/2014,22,39.02
12/10/2014,23,39.02
12/11/2014,0,39.14
12/11/2014,1,39.155
12/11/2014,2,37.94
12/11/2014,3,37.94
12/11/2014,4,37.04
12/11/2014,5,35.96
12/11/2014,6,35.06
12/11/2014,7,35.33
12/11/2014,8,35.33
12/11/2014,9,34.43
12/11/2014,10,33.98
12/11/2014,11,33.89
12/11/2014,12,33.656
12/11/2014,13,33.86
12/11/2014,14,33.86
12/11/2014,15,33.98
12/11/2014,16,33.89
12/11/2014,17,33.98
12/11/2014,18,33.08
12/11/2014,19,33.08
12/11/2014,20,32
12/11/2014,21,32
12/11/2014,22,32
12/11/2014,23,32
12/12/2014,0,32
12/12/2014,1,30.92
12/12/2014,2,30.92
12/12/2014,3,30.92
12/12/2014,4,30.92
12/12/2014,5,32
12/12/2014,6,32
12/12/2014,7,32
12/12/2014,8,33.98
12/12/2014,9,35.06
12/12/2014,10,36.32
