"","Account","Date","kWh","month","day","year","hour","DayOfWeek","Weekday","PeakHour","Temperature"
"1",999999999,"1/1/2014",78.405,1,1,2014,0,3,1,0,23
"2",999999999,"1/1/2014",76.425,1,1,2014,1,3,1,0,21.9
"3",999999999,"1/1/2014",223.394993,1,1,2014,10,3,1,1,26.1
"4",999999999,"1/1/2014",215.039996,1,1,2014,11,3,1,1,26.1
"5",999999999,"1/1/2014",210.675,1,1,2014,12,3,1,1,27
"6",999999999,"1/1/2014",196.049998,1,1,2014,13,3,1,1,28
"7",999999999,"1/1/2014",196.559993,1,1,2014,14,3,1,1,27
"8",999999999,"1/1/2014",151.829996,1,1,2014,15,3,1,1,27
"9",999999999,"1/1/2014",103.739998,1,1,2014,16,3,1,1,26.1
"10",999999999,"1/1/2014",99.584999,1,1,2014,17,3,1,1,25
"11",999999999,"1/1/2014",97.589998,1,1,2014,18,3,1,1,24.1
"12",999999999,"1/1/2014",91.47,1,1,2014,19,3,1,1,24.1
"13",999999999,"1/1/2014",78.015,1,1,2014,2,3,1,0,21.9
"14",999999999,"1/1/2014",93.6,1,1,2014,20,3,1,0,23
"15",999999999,"1/1/2014",79.35,1,1,2014,21,3,1,0,21.9
"16",999999999,"1/1/2014",76.44,1,1,2014,22,3,1,0,23
"17",999999999,"1/1/2014",72.84,1,1,2014,23,3,1,0,23
"19",999999999,"1/1/2014",78.12,1,1,2014,3,3,1,0,21.9
"20",999999999,"1/1/2014",77.535,1,1,2014,4,3,1,0,21
"21",999999999,"1/1/2014",104.099999,1,1,2014,5,3,1,0,21
"22",999999999,"1/1/2014",158.264998,1,1,2014,6,3,1,1,21
"23",999999999,"1/1/2014",249.164995,1,1,2014,7,3,1,1,19.9
"24",999999999,"1/1/2014",240.524994,1,1,2014,8,3,1,1,23
"25",999999999,"1/1/2014",224.069994,1,1,2014,9,3,1,1,24.1
"28",999999999,"1/10/2014",115.29,1,10,2014,10,5,1,1,27.06666667
"29",999999999,"1/10/2014",95.64,1,10,2014,11,5,1,1,29.2
"30",999999999,"1/10/2014",92.31,1,10,2014,12,5,1,1,30.9
"31",999999999,"1/10/2014",70.065,1,10,2014,13,5,1,1,32
"32",999999999,"1/10/2014",37.905,1,10,2014,14,5,1,1,32
"33",999999999,"1/10/2014",13.455,1,10,2014,15,5,1,1,32
"47",999999999,"1/10/2014",20.145,1,10,2014,6,5,1,1,24.1
"48",999999999,"1/10/2014",93.044999,1,10,2014,7,5,1,1,23.45
"49",999999999,"1/10/2014",126.479999,1,10,2014,8,5,1,1,24.56666667
