"Date","month","day","year","hour","DayOfWeek","Weekday","PeakHour","Temperature","kWh"
20160613,6,13,2016,18,1,1,1,70,80.0007801708514
20160613,6,13,2016,19,1,1,1,70,79.9865971172872
20160613,6,13,2016,20,1,1,0,69,80.502043749152
20160613,6,13,2016,21,1,1,0,67,80.4383733518429
20160613,6,13,2016,22,1,1,0,65,80.378664855022
20160613,6,13,2016,23,1,1,0,63,80.3229759556825
20160614,6,14,2016,0,2,1,0,61,80.8029604901508
20160614,6,14,2016,1,2,1,0,60,80.7513737636808
20160614,6,14,2016,2,2,1,0,59,80.7011239458112
20160614,6,14,2016,3,2,1,0,58,80.6522922491735
20160614,6,14,2016,4,2,1,0,57,80.6049512516451
20160614,6,14,2016,5,2,1,0,56,80.5591648020195
20160614,6,14,2016,6,2,1,1,56,79.9953826365005
20160614,6,14,2016,7,2,1,1,58,80.0062786975541
20160614,6,14,2016,8,2,1,1,61,80.0303716507659
20160614,6,14,2016,9,2,1,1,64,80.0558537078528
20160614,6,14,2016,10,2,1,1,67,80.0827420365051
20160614,6,14,2016,11,2,1,1,69,80.0958557811578
20160614,6,14,2016,12,2,1,1,71,80.1092647260235
20160614,6,14,2016,13,2,1,1,73,80.1229726824239
20160614,6,14,2016,14,2,1,1,75,80.1369831736858
20160614,6,14,2016,15,2,1,1,75,80.1191386727036
20160614,6,14,2016,16,2,1,1,75,80.1017109155264
20160614,6,14,2016,17,2,1,1,75,80.0846973271831
20160614,6,14,2016,18,2,1,1,74,80.0538642994504
20160614,6,14,2016,19,2,1,1,73,80.0246410231565
20160614,6,14,2016,20,2,1,0,71,80.5454715316479
20160614,6,14,2016,21,2,1,0,68,80.4585715026832
20160614,6,14,2016,22,2,1,0,66,80.3975293972674
20160614,6,14,2016,23,2,1,0,65,80.3584491646904
20160615,6,15,2016,0,3,1,0,64,80.8838156998904
20160615,6,15,2016,1,3,1,0,63,80.8301900496156
20160615,6,15,2016,2,3,1,0,62,80.7777747872203
20160615,6,15,2016,3,3,1,0,61,80.7266629976876
20160615,6,15,2016,4,3,1,0,61,80.7017053677728
20160615,6,15,2016,5,3,1,0,60,80.6526510539061
20160615,6,15,2016,6,3,1,1,61,80.060270258534
20160615,6,15,2016,7,3,1,1,65,80.1024022436339
20160615,6,15,2016,8,3,1,1,68,80.1318079864524
20160615,6,15,2016,9,3,1,1,71,80.1626466861956
20160615,6,15,2016,10,3,1,1,74,80.1949275918072
20160615,6,15,2016,11,3,1,1,76,80.2106443006043
20160615,6,15,2016,12,3,1,1,77,80.2086786702824
20160615,6,15,2016,13,3,1,1,78,80.2066721066817
20160615,6,15,2016,14,3,1,1,78,80.1871123838407
20160615,6,15,2016,15,3,1,1,79,80.1850616430826
20160615,6,15,2016,16,3,1,1,79,80.1659243835429
20160615,6,15,2016,17,3,1,1,78,80.1309901322127
20160615,6,15,2016,18,3,1,1,77,80.0977253660901
20160615,6,15,2016,19,3,1,1,75,80.0519006029721
20160615,6,15,2016,20,3,1,0,74,80.6137002860447
20160615,6,15,2016,21,3,1,0,72,80.5436291172039
20160615,6,15,2016,22,3,1,0,70,80.4773456899363
20160615,6,15,2016,23,3,1,0,69,80.4346803129668
20160616,6,16,2016,0,4,1,0,68,80.9957616950432
20160616,6,16,2016,1,4,1,0,67,80.9397394618643
20160616,6,16,2016,2,4,1,0,65,80.8575154259202
20160616,6,16,2016,3,4,1,0,63,80.7780706726397
20160616,6,16,2016,4,4,1,0,62,80.7268428079879
20160616,6,16,2016,5,4,1,0,61,80.6770094717348
20160616,6,16,2016,6,4,1,1,61,80.060270258534
20160616,6,16,2016,7,4,1,1,64,80.0874907652476
20160616,6,16,2016,8,4,1,1,68,80.1318079864524
20160616,6,16,2016,9,4,1,1,71,80.1626466861956
20160616,6,16,2016,10,4,1,1,74,80.1949275918072
20160616,6,16,2016,11,4,1,1,76,80.2106443006043
20160616,6,16,2016,12,4,1,1,76,80.1911025989508
20160616,6,16,2016,13,4,1,1,77,80.1891268537847
20160616,6,16,2016,14,4,1,1,77,80.1700008172522
20160616,6,16,2016,15,4,1,1,77,80.1512994297964
20160616,6,16,2016,16,4,1,1,76,80.1171677034126
20160616,6,16,2016,17,4,1,1,75,80.0846973271831
20160616,6,16,2016,18,4,1,1,74,80.0538642994504
20160616,6,16,2016,19,4,1,1,72,80.0115831560173
20160616,6,16,2016,20,4,1,0,71,80.5454715316479
20160616,6,16,2016,21,4,1,0,68,80.4585715026832
20160616,6,16,2016,22,4,1,0,66,80.3975293972674
20160616,6,16,2016,23,4,1,0,65,80.3584491646904
20160617,6,17,2016,0,5,1,0,63,80.8565488779588
20160617,6,17,2016,1,5,1,0,63,80.8301900496156
20160617,6,17,2016,2,5,1,0,62,80.7777747872203
20160617,6,17,2016,3,5,1,0,61,80.7266629976876
20160617,6,17,2016,4,5,1,0,60,80.6769394345149
20160617,6,17,2016,5,5,1,0,60,80.6526510539061
20160617,6,17,2016,6,5,1,1,60,80.0465163136376
20160617,6,17,2016,7,5,1,1,63,80.0729763237242
20160617,6,17,2016,8,5,1,1,65,80.0859624397017
20160617,6,17,2016,9,5,1,1,66,80.0843785069405
20160617,6,17,2016,10,5,1,1,67,80.0827420365051
20160617,6,17,2016,11,5,1,1,67,80.0666504101521
20160617,6,17,2016,12,5,1,1,67,80.0509554971518
20160617,6,17,2016,13,5,1,1,68,80.0492295148003
20160617,6,17,2016,14,5,1,1,67,80.0207427780762
20160617,6,17,2016,15,5,1,1,67,80.0062177356118
20160617,6,17,2016,16,5,1,1,67,79.9920749765028
20160617,6,17,2016,17,5,1,1,67,79.978310258009
20160617,6,17,2016,18,5,1,1,66,79.9537020802456
20160617,6,17,2016,19,5,1,1,64,79.9204547214748
20160617,6,17,2016,20,5,1,0,63,80.3820221033229
20160617,6,17,2016,21,5,1,0,61,80.3263728657802
20160617,6,17,2016,22,5,1,0,59,80.2747733849504
20160617,6,17,2016,23,5,1,0,59,80.257360181576
20160618,6,18,2016,0,6,0,0,58,80.7675861034379
20160618,6,18,2016,1,6,0,0,58,80.7465469929942
20160618,6,18,2016,2,6,0,0,58,80.725695225421
20160618,6,18,2016,3,6,0,0,57,80.6806573539832
20160618,6,18,2016,4,6,0,0,57,80.6605029174715
20160618,6,18,2016,5,6,0,0,57,80.6405834641116
20160618,6,18,2016,6,6,0,1,58,80.1033344049729
20160618,6,18,2016,7,6,0,1,60,80.1203278936327
20160618,6,18,2016,8,6,0,1,63,80.1535426910628
20160618,6,18,2016,9,6,0,1,64,80.1550895613938
20160618,6,18,2016,10,6,0,1,66,80.1728383302443
20160618,6,18,2016,11,6,0,1,67,80.1740749653391
20160618,6,18,2016,12,6,0,1,67,80.15888156902
20160618,6,18,2016,13,6,0,1,68,80.159861657409
20160618,6,18,2016,14,6,0,1,68,80.1449026382301
20160618,6,18,2016,15,6,0,1,69,80.1456319603711
20160618,6,18,2016,16,6,0,1,69,80.1309131074192
20160618,6,18,2016,17,6,0,1,69,80.1165437440487
20160618,6,18,2016,18,6,0,1,67,80.0749752681493
20160618,6,18,2016,19,6,0,1,65,80.0371874812191
20160618,6,18,2016,20,6,0,0,63,80.4902898414948
20160618,6,18,2016,21,6,0,0,62,80.4526694272109
20160618,6,18,2016,22,6,0,0,61,80.4167141380994
20160618,6,18,2016,23,6,0,0,61,80.4004451771641
20160619,6,19,2016,0,0,0,0,60,80.818925423467
20160619,6,19,2016,1,0,0,0,60,80.7974329301545
20160619,6,19,2016,2,0,0,0,59,80.7507185112951
20160619,6,19,2016,3,0,0,0,58,80.7050423296782
20160619,6,19,2016,4,0,0,0,57,80.6605029174715
20160619,6,19,2016,5,0,0,0,56,80.6171917764054
20160619,6,19,2016,6,0,0,1,57,80.088636014746
20160619,6,19,2016,7,0,0,1,60,80.1203278936327
20160619,6,19,2016,8,0,0,1,63,80.1535426910628
20160619,6,19,2016,9,0,0,1,66,80.1882607188026
20160619,6,19,2016,10,0,0,1,68,80.2068215773918
20160619,6,19,2016,11,0,0,1,70,80.2256113848354
20160619,6,19,2016,12,0,0,1,71,80.2266137020856
20160619,6,19,2016,13,0,0,1,70,80.192805461047
20160619,6,19,2016,14,0,0,1,69,80.160700518343
20160619,6,19,2016,15,0,0,1,69,80.1456319603711
