"Date","month","day","year","hour","DayOfWeek","Weekday","PeakHour","Temperature","kWh"
"12/1/2014",12,1,2014,0,1,1,0,51.98,81.2431723719149
"12/1/2014",12,1,2014,1,1,1,0,51.98,81.2134149395116
"12/1/2014",12,1,2014,2,1,1,0,51.08,81.167583191503
"12/1/2014",12,1,2014,3,1,1,0,51.08,81.1379462617014
"12/1/2014",12,1,2014,4,1,1,0,51.08,81.1083598903638
"12/1/2014",12,1,2014,5,1,1,0,51.08,81.078845896682
"12/1/2014",12,1,2014,6,1,1,1,50,80.2993161829093
"12/1/2014",12,1,2014,7,1,1,1,53.06,80.314029236399
"12/1/2014",12,1,2014,8,1,1,1,55.94,80.326723723512
"12/1/2014",12,1,2014,9,1,1,1,60.08,80.3551577270309
"12/1/2014",12,1,2014,10,1,1,1,60.08,80.3324527070917
"12/1/2014",12,1,2014,11,1,1,1,62.06,80.3341565753552
"12/1/2014",12,1,2014,12,1,1,1,62.96,80.3226417376691
"12/1/2014",12,1,2014,13,1,1,1,60.98,80.2772663504152
"12/1/2014",12,1,2014,14,1,1,1,57.92,80.2221110471272
"12/1/2014",12,1,2014,15,1,1,1,55.04,80.1721785330927
"12/1/2014",12,1,2014,16,1,1,1,53.06,80.1339849740557
"12/1/2014",12,1,2014,17,1,1,1,51.08,80.0977870037597
"12/1/2014",12,1,2014,18,1,1,1,48.92,80.0620138157401
"12/1/2014",12,1,2014,19,1,1,1,48.02,80.0385701711034
"12/1/2014",12,1,2014,20,1,1,0,46.94,80.5994866585452
"12/1/2014",12,1,2014,21,1,1,0,42.98,80.5219932274107
"12/1/2014",12,1,2014,22,1,1,0,41,80.4736886581035
"12/1/2014",12,1,2014,23,1,1,0,39.02,80.4274542894142
"12/2/2014",12,2,2014,0,2,1,0,37.94,80.9954194593547
"12/2/2014",12,2,2014,1,2,1,0,37.04,80.9522983715874
"12/2/2014",12,2,2014,2,2,1,0,35.96,80.9067257804264
"12/2/2014",12,2,2014,3,2,1,0,35.06,80.8647749636326
"12/2/2014",12,2,2014,4,2,1,0,35.06,80.8378781597917
"12/2/2014",12,2,2014,5,2,1,0,33.98,80.7941333645279
"12/2/2014",12,2,2014,6,2,1,1,33.98,80.1288273110911
"12/2/2014",12,2,2014,7,2,1,1,33.08,80.1034912468438
"12/2/2014",12,2,2014,8,2,1,1,33.08,80.0870207408249
"12/2/2014",12,2,2014,9,2,1,1,33.98,80.0787215193543
"12/2/2014",12,2,2014,10,2,1,1,35.06,80.072024392258
"12/2/2014",12,2,2014,11,2,1,1,37.04,80.0730555154761
"12/2/2014",12,2,2014,12,2,1,1,37.04,80.057174041654
"12/2/2014",12,2,2014,13,2,1,1,37.04,80.0416880859487
"12/2/2014",12,2,2014,14,2,1,1,37.04,80.0265942577848
"12/2/2014",12,2,2014,15,2,1,1,37.22,80.013267417401
"12/2/2014",12,2,2014,16,2,1,1,35.96,79.989646990534
"12/2/2014",12,2,2014,17,2,1,1,35.96,79.9759604942641
"12/2/2014",12,2,2014,18,2,1,1,36.68,79.9675736981377
"12/2/2014",12,2,2014,19,2,1,1,37.04,79.9568697377298
"12/2/2014",12,2,2014,20,2,1,0,37.67,80.4773371193023
"12/2/2014",12,2,2014,21,2,1,0,39.02,80.4716416015037
"12/2/2014",12,2,2014,22,2,1,0,39.32,80.4529993716823
"12/2/2014",12,2,2014,23,2,1,0,41,80.4512498382468
"12/3/2014",12,3,2014,0,3,1,0,42.89,81.0811645534427
"12/3/2014",12,3,2014,1,3,1,0,43.82,81.0686807009715
"12/3/2014",12,3,2014,2,3,1,0,44.96,81.0597265653771
"12/3/2014",12,3,2014,3,3,1,0,44.78,81.027809802228
"12/3/2014",12,3,2014,4,3,1,0,45.14,81.0052840811997
"12/3/2014",12,3,2014,5,3,1,0,45.23,80.9782001435179
"12/3/2014",12,3,2014,6,3,1,1,37.58,80.1638681379269
"12/3/2014",12,3,2014,7,3,1,1,37.22,80.1423336409593
"12/3/2014",12,3,2014,8,3,1,1,37.94,80.1316174301166
"12/3/2014",12,3,2014,9,3,1,1,39.02,80.1243939377615
"12/3/2014",12,3,2014,10,3,1,1,40.1,80.1171893769388
"12/3/2014",12,3,2014,11,3,1,1,44.06,80.1371573435766
"12/3/2014",12,3,2014,12,3,1,1,46.31,80.1409577991451
"12/3/2014",12,3,2014,13,3,1,1,50,80.1589611360725
"12/3/2014",12,3,2014,14,3,1,1,51.08,80.1511816646728
"12/3/2014",12,3,2014,15,3,1,1,51.44,80.1364361639794
"12/3/2014",12,3,2014,16,3,1,1,50,80.1051388582329
"12/3/2014",12,3,2014,17,3,1,1,50,80.0880313095562
"12/3/2014",12,3,2014,18,3,1,1,50,80.0713358819015
"12/3/2014",12,3,2014,19,3,1,1,49.46,80.0505011552103
"12/3/2014",12,3,2014,20,3,1,0,48.02,80.6145410193806
"12/3/2014",12,3,2014,21,3,1,0,42.98,80.5219932274107
"12/3/2014",12,3,2014,22,3,1,0,42.08,80.4872183623988
"12/3/2014",12,3,2014,23,3,1,0,39.92,80.4381947997311
"12/4/2014",12,4,2014,0,4,1,0,39.02,81.0139511958887
"12/4/2014",12,4,2014,1,4,1,0,37.94,80.9675084339184
"12/4/2014",12,4,2014,2,4,1,0,37.94,80.9397255950923
"12/4/2014",12,4,2014,3,4,1,0,37.04,80.8972086752802
"12/4/2014",12,4,2014,4,4,1,0,37.04,80.8699149855246
"12/4/2014",12,4,2014,5,4,1,0,33.98,80.7941333645279
"12/4/2014",12,4,2014,6,4,1,1,33.98,80.1288273110911
"12/4/2014",12,4,2014,7,4,1,1,35.06,80.1217590797548
"12/4/2014",12,4,2014,8,4,1,1,37.94,80.1316174301166
"12/4/2014",12,4,2014,9,4,1,1,39.92,80.1329338307238
"12/4/2014",12,4,2014,10,4,1,1,41,80.1256373795221
