"Account","Date","kWh","month","day","year","hour","DayOfWeek","Weekday","PeakHour","Temperature"
26435791004,"1/1/2014",81.285,1,1,2014,"0",3,"1",0,23
26435791004,"1/1/2014",81.705,1,1,2014,"1",3,"1",0,21.9
26435791004,"1/1/2014",151.349996,1,1,2014,"10",3,"1",1,26.1
26435791004,"1/1/2014",151.079998,1,1,2014,"11",3,"1",1,26.1
26435791004,"1/1/2014",152.324995,1,1,2014,"12",3,"1",1,27
26435791004,"1/1/2014",151.574998,1,1,2014,"13",3,"1",1,28
26435791004,"1/1/2014",131.804994,1,1,2014,"14",3,"1",1,27
26435791004,"1/1/2014",149.819996,1,1,2014,"15",3,"1",1,27
26435791004,"1/1/2014",160.394997,1,1,2014,"16",3,"1",1,26.1
26435791004,"1/1/2014",160.889997,1,1,2014,"17",3,"1",1,25
26435791004,"1/1/2014",159.464997,1,1,2014,"18",3,"1",1,24.1
26435791004,"1/1/2014",153.434997,1,1,2014,"19",3,"1",1,24.1
26435791004,"1/1/2014",81.51,1,1,2014,"2",3,"1",0,21.9
26435791004,"1/1/2014",122.624997,1,1,2014,"20",3,"1",0,23
26435791004,"1/1/2014",115.094995,1,1,2014,"21",3,"1",0,21.9
26435791004,"1/1/2014",111.089998,1,1,2014,"22",3,"1",0,23
26435791004,"1/1/2014",88.065,1,1,2014,"23",3,"1",0,23
26435791004,"1/1/2014",83.115,1,1,2014,"3",3,"1",0,21.9
26435791004,"1/1/2014",83.835,1,1,2014,"4",3,"1",0,21
26435791004,"1/1/2014",85.53,1,1,2014,"5",3,"1",0,21
26435791004,"1/1/2014",151.694997,1,1,2014,"6",3,"1",1,21
26435791004,"1/1/2014",153.764997,1,1,2014,"7",3,"1",1,19.9
26435791004,"1/1/2014",151.079997,1,1,2014,"8",3,"1",1,23
26435791004,"1/1/2014",151.049998,1,1,2014,"9",3,"1",1,24.1
26435791004,"1/10/2014",84.78,1,10,2014,"0",5,"1",0,19
26435791004,"1/10/2014",83.82,1,10,2014,"1",5,"1",0,19
26435791004,"1/10/2014",311.89499,1,10,2014,"10",5,"1",1,27.06666667
26435791004,"1/10/2014",306.929993,1,10,2014,"11",5,"1",1,29.2
26435791004,"1/10/2014",295.949994,1,10,2014,"12",5,"1",1,30.9
26435791004,"1/10/2014",289.199995,1,10,2014,"13",5,"1",1,32
26435791004,"1/10/2014",270.644995,1,10,2014,"14",5,"1",1,32
26435791004,"1/10/2014",252.62999,1,10,2014,"15",5,"1",1,32
26435791004,"1/10/2014",226.064994,1,10,2014,"16",5,"1",1,33.56666667
26435791004,"1/10/2014",217.019994,1,10,2014,"17",5,"1",1,34.45
26435791004,"1/10/2014",167.069995,1,10,2014,"18",5,"1",1,35.8
26435791004,"1/10/2014",165.524997,1,10,2014,"19",5,"1",1,35.1
26435791004,"1/10/2014",83.52,1,10,2014,"2",5,"1",0,19
26435791004,"1/10/2014",125.864998,1,10,2014,"20",5,"1",0,35.1
26435791004,"1/10/2014",112.604999,1,10,2014,"21",5,"1",0,35.06666667
26435791004,"1/10/2014",103.484998,1,10,2014,"22",5,"1",0,33.85
26435791004,"1/10/2014",85.74,1,10,2014,"23",5,"1",0,35.1
26435791004,"1/10/2014",85.08,1,10,2014,"3",5,"1",0,19.9
26435791004,"1/10/2014",85.62,1,10,2014,"4",5,"1",0,21.9
26435791004,"1/10/2014",88.425,1,10,2014,"5",5,"1",0,24.1
26435791004,"1/10/2014",265.964994,1,10,2014,"6",5,"1",1,24.1
26435791004,"1/10/2014",276.014993,1,10,2014,"7",5,"1",1,23.45
26435791004,"1/10/2014",298.799997,1,10,2014,"8",5,"1",1,24.56666667
26435791004,"1/10/2014",305.774993,1,10,2014,"9",5,"1",1,26.73333333
26435791004,"1/11/2014",82.5,1,11,2014,"0",6,"0",0,34
26435791004,"1/11/2014",82.275,1,11,2014,"1",6,"0",0,34
26435791004,"1/11/2014",176.999998,1,11,2014,"10",6,"0",1,54
26435791004,"1/11/2014",173.684996,1,11,2014,"11",6,"0",1,54.3
26435791004,"1/11/2014",174.149997,1,11,2014,"12",6,"0",1,56.55
26435791004,"1/11/2014",171.614995,1,11,2014,"13",6,"0",1,55.9
26435791004,"1/11/2014",155.849997,1,11,2014,"14",6,"0",1,54
26435791004,"1/11/2014",108.479999,1,11,2014,"15",6,"0",1,55.65
26435791004,"1/11/2014",103.739999,1,11,2014,"16",6,"0",1,55.9
26435791004,"1/11/2014",93.15,1,11,2014,"17",6,"0",1,57
26435791004,"1/11/2014",94.335,1,11,2014,"18",6,"0",1,55.9
26435791004,"1/11/2014",94.124999,1,11,2014,"19",6,"0",1,56.2
26435791004,"1/11/2014",81.345,1,11,2014,"2",6,"0",0,35.43333333
26435791004,"1/11/2014",93.6,1,11,2014,"20",6,"0",0,56.65
26435791004,"1/11/2014",91.935,1,11,2014,"21",6,"0",0,55.9
26435791004,"1/11/2014",88.605,1,11,2014,"22",6,"0",0,50.55
26435791004,"1/11/2014",86.58,1,11,2014,"23",6,"0",0,53.1
26435791004,"1/11/2014",82.155,1,11,2014,"3",6,"0",0,35.43333333
26435791004,"1/11/2014",81.615,1,11,2014,"4",6,"0",0,35.1
26435791004,"1/11/2014",81.87,1,11,2014,"5",6,"0",0,36
26435791004,"1/11/2014",162.464999,1,11,2014,"6",6,"0",1,37.35
26435791004,"1/11/2014",149.294997,1,11,2014,"7",6,"0",1,41.66666667
26435791004,"1/11/2014",184.889993,1,11,2014,"8",6,"0",1,46
26435791004,"1/11/2014",185.789996,1,11,2014,"9",6,"0",1,47.7
26435791004,"1/12/2014",83.265,1,12,2014,"0",0,"0",0,54
26435791004,"1/12/2014",82.47,1,12,2014,"1",0,"0",0,52
26435791004,"1/12/2014",82.95,1,12,2014,"10",0,"0",1,45
26435791004,"1/12/2014",83.34,1,12,2014,"11",0,"0",1,46.9
26435791004,"1/12/2014",83.685,1,12,2014,"12",0,"0",1,45
26435791004,"1/12/2014",83.265,1,12,2014,"13",0,"0",1,45
26435791004,"1/12/2014",83.415,1,12,2014,"14",0,"0",1,45
26435791004,"1/12/2014",88.515,1,12,2014,"15",0,"0",1,44.1
26435791004,"1/12/2014",93.66,1,12,2014,"16",0,"0",1,43
26435791004,"1/12/2014",95.52,1,12,2014,"17",0,"0",1,42.1
26435791004,"1/12/2014",96.195,1,12,2014,"18",0,"0",1,41
26435791004,"1/12/2014",95.76,1,12,2014,"19",0,"0",1,39.9
26435791004,"1/12/2014",83.145,1,12,2014,"2",0,"0",0,49.45
26435791004,"1/12/2014",95.85,1,12,2014,"20",0,"0",0,39.9
26435791004,"1/12/2014",97.124998,1,12,2014,"21",0,"0",0,39.9
26435791004,"1/12/2014",88.98,1,12,2014,"22",0,"0",0,37.9
26435791004,"1/12/2014",81.72,1,12,2014,"23",0,"0",0,37.9
26435791004,"1/12/2014",84.18,1,12,2014,"3",0,"0",0,46.9
26435791004,"1/12/2014",83.235,1,12,2014,"4",0,"0",0,46
26435791004,"1/12/2014",83.67,1,12,2014,"5",0,"0",0,44.1
26435791004,"1/12/2014",90.63,1,12,2014,"6",0,"0",1,43
26435791004,"1/12/2014",83.58,1,12,2014,"7",0,"0",1,42.1
26435791004,"1/12/2014",83.46,1,12,2014,"8",0,"0",1,43
26435791004,"1/12/2014",84.195,1,12,2014,"9",0,"0",1,44.1
26435791004,"1/13/2014",81.66,1,13,2014,"0",1,"1",0,37
26435791004,"1/13/2014",82.38,1,13,2014,"1",1,"1",0,37
26435791004,"1/13/2014",285.554997,1,13,2014,"10",1,"1",1,44.1
26435791004,"1/13/2014",273.119996,1,13,2014,"11",1,"1",1,46.9
26435791004,"1/13/2014",271.619994,1,13,2014,"12",1,"1",1,50
