"","Date","month","day","year","hour","DayOfWeek","Weekday","PeakHour","Temperature"
"1","5/25/2016",5,25,2016,15,3,"1",1,71
"2","5/25/2016",5,25,2016,16,3,"1",1,73
"3","5/25/2016",5,25,2016,17,3,"1",1,77
"4","5/25/2016",5,25,2016,18,3,"1",1,83
"5","5/25/2016",5,25,2016,19,3,"1",1,81
"6","5/25/2016",5,25,2016,20,3,"1",0,79
"7","5/25/2016",5,25,2016,21,3,"1",0,77
"8","5/25/2016",5,25,2016,22,3,"1",0,74
"9","5/25/2016",5,25,2016,23,3,"1",0,73
"10","5/26/2016",5,26,2016,0,4,"1",0,72
"11","5/26/2016",5,26,2016,1,4,"1",0,71
"12","5/26/2016",5,26,2016,2,4,"1",0,70
"13","5/26/2016",5,26,2016,3,4,"1",0,68
"14","5/26/2016",5,26,2016,4,4,"1",0,67
"15","5/26/2016",5,26,2016,5,4,"1",0,66
"16","5/26/2016",5,26,2016,6,4,"1",1,66
"17","5/26/2016",5,26,2016,7,4,"1",1,68
"18","5/26/2016",5,26,2016,8,4,"1",1,71
"19","5/26/2016",5,26,2016,9,4,"1",1,73
"20","5/26/2016",5,26,2016,10,4,"1",1,73
"21","5/26/2016",5,26,2016,11,4,"1",1,73
"22","5/26/2016",5,26,2016,12,4,"1",1,75
"23","5/26/2016",5,26,2016,13,4,"1",1,75
"24","5/26/2016",5,26,2016,14,4,"1",1,76
"25","5/26/2016",5,26,2016,15,4,"1",1,76
"26","5/26/2016",5,26,2016,16,4,"1",1,75
"27","5/26/2016",5,26,2016,17,4,"1",1,74
"28","5/26/2016",5,26,2016,18,4,"1",1,74
"29","5/26/2016",5,26,2016,19,4,"1",1,72
"30","5/26/2016",5,26,2016,20,4,"1",0,70
"31","5/26/2016",5,26,2016,21,4,"1",0,69
"32","5/26/2016",5,26,2016,22,4,"1",0,67
"33","5/26/2016",5,26,2016,23,4,"1",0,66
"34","5/27/2016",5,27,2016,0,5,"1",0,65
"35","5/27/2016",5,27,2016,1,5,"1",0,64
"36","5/27/2016",5,27,2016,2,5,"1",0,63
"37","5/27/2016",5,27,2016,3,5,"1",0,62
"38","5/27/2016",5,27,2016,4,5,"1",0,62
"39","5/27/2016",5,27,2016,5,5,"1",0,61
"40","5/27/2016",5,27,2016,6,5,"1",1,61
"41","5/27/2016",5,27,2016,7,5,"1",1,64
"42","5/27/2016",5,27,2016,8,5,"1",1,66
"43","5/27/2016",5,27,2016,9,5,"1",1,69
