"","Date","month","day","year","hour","DayOfWeek","Weekday","PeakHour","Temperature","kWh"
"1","5/25/2016",5,25,2016,15,3,1,1,71,234.476429326626
"2","5/25/2016",5,25,2016,16,3,1,1,73,235.533315136106
"3","5/25/2016",5,25,2016,17,3,1,1,77,237.647086755067
"4","5/25/2016",5,25,2016,18,3,1,1,83,240.817744183508
"5","5/25/2016",5,25,2016,19,3,1,1,81,239.760858374028
"6","5/25/2016",5,25,2016,20,3,1,0,79,124.410173464064
"7","5/25/2016",5,25,2016,21,3,1,0,77,123.353287654584
"8","5/25/2016",5,25,2016,22,3,1,0,74,121.767958940363
"9","5/25/2016",5,25,2016,23,3,1,0,73,121.239516035623
"10","5/26/2016",5,26,2016,0,4,1,0,72,125.49371469815
"11","5/26/2016",5,26,2016,1,4,1,0,71,124.96527179341
"12","5/26/2016",5,26,2016,2,4,1,0,70,124.436828888669
"13","5/26/2016",5,26,2016,3,4,1,0,68,123.379943079189
"14","5/26/2016",5,26,2016,4,4,1,0,67,122.851500174449
"15","5/26/2016",5,26,2016,5,4,1,0,66,122.323057269709
"16","5/26/2016",5,26,2016,6,4,1,1,66,236.616856370192
"17","5/26/2016",5,26,2016,7,4,1,1,68,237.673742179672
"18","5/26/2016",5,26,2016,8,4,1,1,71,239.259070893893
"19","5/26/2016",5,26,2016,9,4,1,1,73,240.315956703373
"20","5/26/2016",5,26,2016,10,4,1,1,73,240.315956703373
"21","5/26/2016",5,26,2016,11,4,1,1,73,240.315956703373
"22","5/26/2016",5,26,2016,12,4,1,1,75,241.372842512854
"23","5/26/2016",5,26,2016,13,4,1,1,75,241.372842512854
"24","5/26/2016",5,26,2016,14,4,1,1,76,241.901285417594
"25","5/26/2016",5,26,2016,15,4,1,1,76,241.901285417594
"26","5/26/2016",5,26,2016,16,4,1,1,75,241.372842512854
"27","5/26/2016",5,26,2016,17,4,1,1,74,240.844399608113
"28","5/26/2016",5,26,2016,18,4,1,1,74,240.844399608113
"29","5/26/2016",5,26,2016,19,4,1,1,72,239.787513798633
"30","5/26/2016",5,26,2016,20,4,1,0,70,124.436828888669
"31","5/26/2016",5,26,2016,21,4,1,0,69,123.908385983929
