"Account","Date","kWh","month","day","year","hour","DayOfWeek","Weekday","PeakHour","Temperature"
999999999,"1/1/2014",78.405,1,1,2014,"0",3,"1",0,23
999999999,"1/1/2014",76.425,1,1,2014,"1",3,"1",0,21.9
999999999,"1/1/2014",223.394993,1,1,2014,"10",3,"1",1,26.1
999999999,"1/1/2014",215.039996,1,1,2014,"11",3,"1",1,26.1
999999999,"1/1/2014",210.675,1,1,2014,"12",3,"1",1,27
999999999,"1/1/2014",196.049998,1,1,2014,"13",3,"1",1,28
999999999,"1/1/2014",196.559993,1,1,2014,"14",3,"1",1,27
999999999,"1/1/2014",151.829996,1,1,2014,"15",3,"1",1,27
999999999,"1/1/2014",103.739998,1,1,2014,"16",3,"1",1,26.1
999999999,"1/1/2014",99.584999,1,1,2014,"17",3,"1",1,25
999999999,"1/1/2014",97.589998,1,1,2014,"18",3,"1",1,24.1
999999999,"1/1/2014",91.47,1,1,2014,"19",3,"1",1,24.1
999999999,"1/1/2014",78.015,1,1,2014,"2",3,"1",0,21.9
999999999,"1/1/2014",93.6,1,1,2014,"20",3,"1",0,23
999999999,"1/1/2014",79.35,1,1,2014,"21",3,"1",0,21.9
999999999,"1/1/2014",76.44,1,1,2014,"22",3,"1",0,23
999999999,"1/1/2014",72.84,1,1,2014,"23",3,"1",0,23
999999999,"1/1/2014",6.135,1,1,2014,"24",3,"1",0,NA
999999999,"1/1/2014",78.12,1,1,2014,"3",3,"1",0,21.9
999999999,"1/1/2014",77.535,1,1,2014,"4",3,"1",0,21
999999999,"1/1/2014",104.099999,1,1,2014,"5",3,"1",0,21
999999999,"1/1/2014",158.264998,1,1,2014,"6",3,"1",1,21
999999999,"1/1/2014",249.164995,1,1,2014,"7",3,"1",1,19.9
999999999,"1/1/2014",240.524994,1,1,2014,"8",3,"1",1,23
999999999,"1/1/2014",224.069994,1,1,2014,"9",3,"1",1,24.1
999999999,"1/10/2014",0,1,10,2014,"0",5,"1",0,19
999999999,"1/10/2014",0,1,10,2014,"1",5,"1",0,19
999999999,"1/10/2014",115.29,1,10,2014,"10",5,"1",1,27.06666667
999999999,"1/10/2014",95.64,1,10,2014,"11",5,"1",1,29.2
999999999,"1/10/2014",92.31,1,10,2014,"12",5,"1",1,30.9
999999999,"1/10/2014",70.065,1,10,2014,"13",5,"1",1,32
999999999,"1/10/2014",37.905,1,10,2014,"14",5,"1",1,32
999999999,"1/10/2014",13.455,1,10,2014,"15",5,"1",1,32
999999999,"1/10/2014",0,1,10,2014,"16",5,"1",1,33.56666667
999999999,"1/10/2014",0,1,10,2014,"17",5,"1",1,34.45
999999999,"1/10/2014",0,1,10,2014,"18",5,"1",1,35.8
999999999,"1/10/2014",0,1,10,2014,"19",5,"1",1,35.1
999999999,"1/10/2014",0,1,10,2014,"2",5,"1",0,19
999999999,"1/10/2014",0,1,10,2014,"20",5,"1",0,35.1
999999999,"1/10/2014",0,1,10,2014,"21",5,"1",0,35.06666667
999999999,"1/10/2014",0,1,10,2014,"22",5,"1",0,33.85
999999999,"1/10/2014",0,1,10,2014,"23",5,"1",0,35.1
999999999,"1/10/2014",0,1,10,2014,"24",5,"1",0,NA
999999999,"1/10/2014",0,1,10,2014,"3",5,"1",0,19.9
999999999,"1/10/2014",0,1,10,2014,"4",5,"1",0,21.9
999999999,"1/10/2014",0,1,10,2014,"5",5,"1",0,24.1
999999999,"1/10/2014",20.145,1,10,2014,"6",5,"1",1,24.1
999999999,"1/10/2014",93.044999,1,10,2014,"7",5,"1",1,23.45
999999999,"1/10/2014",126.479999,1,10,2014,"8",5,"1",1,24.56666667
999999999,"1/10/2014",125.699994,1,10,2014,"9",5,"1",1,26.73333333
999999999,"1/11/2014",0,1,11,2014,"0",6,"0",0,34
999999999,"1/11/2014",0,1,11,2014,"1",6,"0",0,34
999999999,"1/11/2014",0,1,11,2014,"10",6,"0",1,54
999999999,"1/11/2014",0,1,11,2014,"11",6,"0",1,54.3
999999999,"1/11/2014",0,1,11,2014,"12",6,"0",1,56.55
999999999,"1/11/2014",0,1,11,2014,"13",6,"0",1,55.9
999999999,"1/11/2014",0,1,11,2014,"14",6,"0",1,54
999999999,"1/11/2014",0,1,11,2014,"15",6,"0",1,55.65
999999999,"1/11/2014",0,1,11,2014,"16",6,"0",1,55.9
999999999,"1/11/2014",0,1,11,2014,"17",6,"0",1,57
999999999,"1/11/2014",0,1,11,2014,"18",6,"0",1,55.9
999999999,"1/11/2014",0,1,11,2014,"19",6,"0",1,56.2
999999999,"1/11/2014",0,1,11,2014,"2",6,"0",0,35.43333333
999999999,"1/11/2014",0,1,11,2014,"20",6,"0",0,56.65
999999999,"1/11/2014",0,1,11,2014,"21",6,"0",0,55.9
999999999,"1/11/2014",0,1,11,2014,"22",6,"0",0,50.55
999999999,"1/11/2014",0,1,11,2014,"23",6,"0",0,53.1
999999999,"1/11/2014",0,1,11,2014,"24",6,"0",0,NA
999999999,"1/11/2014",0,1,11,2014,"3",6,"0",0,35.43333333
999999999,"1/11/2014",0,1,11,2014,"4",6,"0",0,35.1
999999999,"1/11/2014",0,1,11,2014,"5",6,"0",0,36
999999999,"1/11/2014",0,1,11,2014,"6",6,"0",1,37.35
999999999,"1/11/2014",0,1,11,2014,"7",6,"0",1,41.66666667
999999999,"1/11/2014",0,1,11,2014,"8",6,"0",1,46
999999999,"1/11/2014",0,1,11,2014,"9",6,"0",1,47.7
999999999,"1/12/2014",0,1,12,2014,"0",0,"0",0,54
999999999,"1/12/2014",0,1,12,2014,"1",0,"0",0,52
999999999,"1/12/2014",0,1,12,2014,"10",0,"0",1,45
999999999,"1/12/2014",0,1,12,2014,"11",0,"0",1,46.9
999999999,"1/12/2014",0,1,12,2014,"12",0,"0",1,45
999999999,"1/12/2014",0,1,12,2014,"13",0,"0",1,45
999999999,"1/12/2014",0,1,12,2014,"14",0,"0",1,45
999999999,"1/12/2014",0,1,12,2014,"15",0,"0",1,44.1
999999999,"1/12/2014",0,1,12,2014,"16",0,"0",1,43
999999999,"1/12/2014",0,1,12,2014,"17",0,"0",1,42.1
999999999,"1/12/2014",0,1,12,2014,"18",0,"0",1,41
999999999,"1/12/2014",0,1,12,2014,"19",0,"0",1,39.9
