"","Date","month","day","year","hour","DayOfWeek","Weekday","PeakHour","Temperature"
"1",20160613,6,13,2016,18,1,1,1,70
"2",20160613,6,13,2016,19,1,1,1,70
"3",20160613,6,13,2016,20,1,1,0,69
"4",20160613,6,13,2016,21,1,1,0,67
"5",20160613,6,13,2016,22,1,1,0,65
"6",20160613,6,13,2016,23,1,1,0,63
"7",20160614,6,14,2016,0,2,1,0,61
"8",20160614,6,14,2016,1,2,1,0,60
"9",20160614,6,14,2016,2,2,1,0,59
"10",20160614,6,14,2016,3,2,1,0,58
"11",20160614,6,14,2016,4,2,1,0,57
"12",20160614,6,14,2016,5,2,1,0,56
"13",20160614,6,14,2016,6,2,1,1,56
"14",20160614,6,14,2016,7,2,1,1,58
"15",20160614,6,14,2016,8,2,1,1,61
"16",20160614,6,14,2016,9,2,1,1,64
"17",20160614,6,14,2016,10,2,1,1,67
"18",20160614,6,14,2016,11,2,1,1,69
"19",20160614,6,14,2016,12,2,1,1,71
"20",20160614,6,14,2016,13,2,1,1,73
"21",20160614,6,14,2016,14,2,1,1,75
"22",20160614,6,14,2016,15,2,1,1,75
"23",20160614,6,14,2016,16,2,1,1,75
"24",20160614,6,14,2016,17,2,1,1,75
"25",20160614,6,14,2016,18,2,1,1,74
"26",20160614,6,14,2016,19,2,1,1,73
"27",20160614,6,14,2016,20,2,1,0,71
"28",20160614,6,14,2016,21,2,1,0,68
"29",20160614,6,14,2016,22,2,1,0,66
"30",20160614,6,14,2016,23,2,1,0,65
"31",20160615,6,15,2016,0,3,1,0,64
"32",20160615,6,15,2016,1,3,1,0,63
"33",20160615,6,15,2016,2,3,1,0,62
"34",20160615,6,15,2016,3,3,1,0,61
"35",20160615,6,15,2016,4,3,1,0,61
"36",20160615,6,15,2016,5,3,1,0,60
"37",20160615,6,15,2016,6,3,1,1,61
"38",20160615,6,15,2016,7,3,1,1,65
"39",20160615,6,15,2016,8,3,1,1,68
"40",20160615,6,15,2016,9,3,1,1,71
"41",20160615,6,15,2016,10,3,1,1,74
"42",20160615,6,15,2016,11,3,1,1,76
"43",20160615,6,15,2016,12,3,1,1,77
"44",20160615,6,15,2016,13,3,1,1,78
"45",20160615,6,15,2016,14,3,1,1,78
"46",20160615,6,15,2016,15,3,1,1,79
"47",20160615,6,15,2016,16,3,1,1,79
"48",20160615,6,15,2016,17,3,1,1,78
"49",20160615,6,15,2016,18,3,1,1,77
"50",20160615,6,15,2016,19,3,1,1,75
"51",20160615,6,15,2016,20,3,1,0,74
"52",20160615,6,15,2016,21,3,1,0,72
"53",20160615,6,15,2016,22,3,1,0,70
"54",20160615,6,15,2016,23,3,1,0,69
"55",20160616,6,16,2016,0,4,1,0,68
"56",20160616,6,16,2016,1,4,1,0,67
"57",20160616,6,16,2016,2,4,1,0,65
"58",20160616,6,16,2016,3,4,1,0,63
"59",20160616,6,16,2016,4,4,1,0,62
"60",20160616,6,16,2016,5,4,1,0,61
"61",20160616,6,16,2016,6,4,1,1,61
"62",20160616,6,16,2016,7,4,1,1,64
"63",20160616,6,16,2016,8,4,1,1,68
"64",20160616,6,16,2016,9,4,1,1,71
"65",20160616,6,16,2016,10,4,1,1,74
"66",20160616,6,16,2016,11,4,1,1,76
"67",20160616,6,16,2016,12,4,1,1,76
"68",20160616,6,16,2016,13,4,1,1,77
"69",20160616,6,16,2016,14,4,1,1,77
"70",20160616,6,16,2016,15,4,1,1,77
"71",20160616,6,16,2016,16,4,1,1,76
"72",20160616,6,16,2016,17,4,1,1,75
"73",20160616,6,16,2016,18,4,1,1,74
"74",20160616,6,16,2016,19,4,1,1,72
"75",20160616,6,16,2016,20,4,1,0,71
"76",20160616,6,16,2016,21,4,1,0,68
"77",20160616,6,16,2016,22,4,1,0,66
"78",20160616,6,16,2016,23,4,1,0,65
"79",20160617,6,17,2016,0,5,1,0,63
"80",20160617,6,17,2016,1,5,1,0,63
"81",20160617,6,17,2016,2,5,1,0,62
"82",20160617,6,17,2016,3,5,1,0,61
"83",20160617,6,17,2016,4,5,1,0,60
"84",20160617,6,17,2016,5,5,1,0,60
"85",20160617,6,17,2016,6,5,1,1,60
"86",20160617,6,17,2016,7,5,1,1,63
"87",20160617,6,17,2016,8,5,1,1,65
"88",20160617,6,17,2016,9,5,1,1,66
"89",20160617,6,17,2016,10,5,1,1,67
"90",20160617,6,17,2016,11,5,1,1,67
"91",20160617,6,17,2016,12,5,1,1,67
"92",20160617,6,17,2016,13,5,1,1,68
"93",20160617,6,17,2016,14,5,1,1,67
"94",20160617,6,17,2016,15,5,1,1,67
"95",20160617,6,17,2016,16,5,1,1,67
"96",20160617,6,17,2016,17,5,1,1,67
"97",20160617,6,17,2016,18,5,1,1,66
"98",20160617,6,17,2016,19,5,1,1,64
"99",20160617,6,17,2016,20,5,1,0,63
"100",20160617,6,17,2016,21,5,1,0,61
